"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2022 00:00:00 - 01/01/2022 00:15:00","BZN|DE-LU","25930.76","25442.43","24620.10","25815.92"
"01/01/2022 00:15:00 - 01/01/2022 00:30:00","BZN|DE-LU","25718.11","25423.37","24606.15","25771.76"
"01/01/2022 00:30:00 - 01/01/2022 00:45:00","BZN|DE-LU","25496.58","25840.72","25044.16","25389.10"
"01/01/2022 00:45:00 - 01/01/2022 01:00:00","BZN|DE-LU","25265.34","25478.14","24704.70","25434.31"
"01/01/2022 01:00:00 - 01/01/2022 01:15:00","BZN|DE-LU","25026.96","25150.40","24421.29","24892.89"
"01/01/2022 01:15:00 - 01/01/2022 01:30:00","BZN|DE-LU","24766.88","24675.14","23968.70","24654.30"
"01/01/2022 01:30:00 - 01/01/2022 01:45:00","BZN|DE-LU","24498.34","24612.47","23931.03","24266.28"
"01/01/2022 01:45:00 - 01/01/2022 02:00:00","BZN|DE-LU","24218.72","24519.45","23897.45","23577.88"
"01/01/2022 02:00:00 - 01/01/2022 02:15:00","BZN|DE-LU","23925.09","24025.05","23453.61","23602.38"
"01/01/2022 02:15:00 - 01/01/2022 02:30:00","BZN|DE-LU","23633.08","23459.26","22908.04","23205.31"
"01/01/2022 02:30:00 - 01/01/2022 02:45:00","BZN|DE-LU","23327.98","23263.78","22719.00","22973.18"
"01/01/2022 02:45:00 - 01/01/2022 03:00:00","BZN|DE-LU","23016.84","22840.98","22370.54","22975.40"
"01/01/2022 03:00:00 - 01/01/2022 03:15:00","BZN|DE-LU","22712.80","22440.36","21998.58","22646.62"
"01/01/2022 03:15:00 - 01/01/2022 03:30:00","BZN|DE-LU","22454.03","21860.97","21438.53","22386.05"
"01/01/2022 03:30:00 - 01/01/2022 03:45:00","BZN|DE-LU","22200.62","21701.34","21264.78","21836.00"
"01/01/2022 03:45:00 - 01/01/2022 04:00:00","BZN|DE-LU","21947.81","21492.62","21054.95","21585.21"
"01/01/2022 04:00:00 - 01/01/2022 04:15:00","BZN|DE-LU","21693.28","21449.56","21013.89","20941.36"
"01/01/2022 04:15:00 - 01/01/2022 04:30:00","BZN|DE-LU","21422.85","21086.52","20671.19","20953.27"
"01/01/2022 04:30:00 - 01/01/2022 04:45:00","BZN|DE-LU","21152.73","20981.77","20597.88","20316.31"
"01/01/2022 04:45:00 - 01/01/2022 05:00:00","BZN|DE-LU","20882.33","20534.88","20179.44","20273.28"
"01/01/2022 05:00:00 - 01/01/2022 05:15:00","BZN|DE-LU","20625.52","20009.93","19679.26","19879.56"
"01/01/2022 05:15:00 - 01/01/2022 05:30:00","BZN|DE-LU","20337.04","19953.73","19660.29","19627.70"
"01/01/2022 05:30:00 - 01/01/2022 05:45:00","BZN|DE-LU","20048.48","19477.32","19199.10","19433.30"
"01/01/2022 05:45:00 - 01/01/2022 06:00:00","BZN|DE-LU","19757.13","19440.68","19176.90","19410.11"
"01/01/2022 06:00:00 - 01/01/2022 06:15:00","BZN|DE-LU","19722.24","19598.26","19329.82","19666.98"
"01/01/2022 06:15:00 - 01/01/2022 06:30:00","BZN|DE-LU","19452.45","19025.39","18752.50","19399.91"
"01/01/2022 06:30:00 - 01/01/2022 06:45:00","BZN|DE-LU","19172.70","18965.21","18711.77","19237.52"
"01/01/2022 06:45:00 - 01/01/2022 07:00:00","BZN|DE-LU","18891.21","18919.01","18682.90","18865.76"
"01/01/2022 07:00:00 - 01/01/2022 07:15:00","BZN|DE-LU","18594.05","18569.80","18343.24","18540.35"
"01/01/2022 07:15:00 - 01/01/2022 07:30:00","BZN|DE-LU","18308.13","18354.20","18132.87","18099.11"
"01/01/2022 07:30:00 - 01/01/2022 07:45:00","BZN|DE-LU","18023.18","17485.42","17268.31","17811.85"
"01/01/2022 07:45:00 - 01/01/2022 08:00:00","BZN|DE-LU","17745.76","17034.48","16876.55","17783.30"
"01/01/2022 08:00:00 - 01/01/2022 08:15:00","BZN|DE-LU","17457.31","16740.92","16508.03","17156.26"
"01/01/2022 08:15:00 - 01/01/2022 08:30:00","BZN|DE-LU","17133.88","16467.80","16252.92","16810.15"
"01/01/2022 08:30:00 - 01/01/2022 08:45:00","BZN|DE-LU","16798.24","16064.24","15723.72","16543.00"
"01/01/2022 08:45:00 - 01/01/2022 09:00:00","BZN|DE-LU","16454.99","15846.27","15545.26","16284.81"
"01/01/2022 09:00:00 - 01/01/2022 09:15:00","BZN|DE-LU","16079.96","15528.15","15258.88","16153.57"
"01/01/2022 09:15:00 - 01/01/2022 09:30:00","BZN|DE-LU","15680.29","15212.39","14905.65","15946.87"
"01/01/2022 09:30:00 - 01/01/2022 09:45:00","BZN|DE-LU","15265.44","14893.09","14795.67","15474.44"
"01/01/2022 09:45:00 - 01/01/2022 10:00:00","BZN|DE-LU","14843.36","14567.68","14474.22","15314.15"
"01/01/2022 10:00:00 - 01/01/2022 10:15:00","BZN|DE-LU","14443.69","14251.50","14055.98","14828.23"
"01/01/2022 10:15:00 - 01/01/2022 10:30:00","BZN|DE-LU","13996.10","13890.09","13757.76","14227.15"
"01/01/2022 10:30:00 - 01/01/2022 10:45:00","BZN|DE-LU","13547.60","13525.69","13639.79","13751.15"
"01/01/2022 10:45:00 - 01/01/2022 11:00:00","BZN|DE-LU","13107.10","13163.73","13218.64","13315.68"
"01/01/2022 11:00:00 - 01/01/2022 11:15:00","BZN|DE-LU","12670.02","12808.28","12934.88","12686.18"
"01/01/2022 11:15:00 - 01/01/2022 11:30:00","BZN|DE-LU","12297.05","12497.20","12494.23","12401.04"
"01/01/2022 11:30:00 - 01/01/2022 11:45:00","BZN|DE-LU","11924.91","12182.59","11968.68","11744.77"
"01/01/2022 11:45:00 - 01/01/2022 12:00:00","BZN|DE-LU","11564.84","11869.50","11568.67","10962.24"
"01/01/2022 12:00:00 - 01/01/2022 12:15:00","BZN|DE-LU","11211.97","11575.91","11247.61","10992.00"
"01/01/2022 12:15:00 - 01/01/2022 12:30:00","BZN|DE-LU","10806.38","11224.89","10931.43","10743.20"
"01/01/2022 12:30:00 - 01/01/2022 12:45:00","BZN|DE-LU","10407.85","10872.61","10580.64","10100.76"
"01/01/2022 12:45:00 - 01/01/2022 13:00:00","BZN|DE-LU","10018.69","10522.94","10274.78","9776.41"
"01/01/2022 13:00:00 - 01/01/2022 13:15:00","BZN|DE-LU","9652.96","10182.87","9855.11","9466.35"
"01/01/2022 13:15:00 - 01/01/2022 13:30:00","BZN|DE-LU","9278.83","9869.73","9569.81","9156.53"
"01/01/2022 13:30:00 - 01/01/2022 13:45:00","BZN|DE-LU","8911.13","9564.76","9392.36","8847.48"
"01/01/2022 13:45:00 - 01/01/2022 14:00:00","BZN|DE-LU","8550.64","9268.35","9178.24","8573.15"
"01/01/2022 14:00:00 - 01/01/2022 14:15:00","BZN|DE-LU","8226.61","9010.51","9004.28","8565.16"
"01/01/2022 14:15:00 - 01/01/2022 14:30:00","BZN|DE-LU","8057.94","8867.33","8861.46","8371.63"
"01/01/2022 14:30:00 - 01/01/2022 14:45:00","BZN|DE-LU","7892.82","8740.31","8746.34","8320.59"
"01/01/2022 14:45:00 - 01/01/2022 15:00:00","BZN|DE-LU","7731.47","8639.98","8690.42","8358.90"
"01/01/2022 15:00:00 - 01/01/2022 15:15:00","BZN|DE-LU","7582.20","8556.73","8613.53","8522.29"
"01/01/2022 15:15:00 - 01/01/2022 15:30:00","BZN|DE-LU","7617.50","8636.34","8742.89","8596.55"
"01/01/2022 15:30:00 - 01/01/2022 15:45:00","BZN|DE-LU","7667.92","8677.55","8916.21","8844.89"
"01/01/2022 15:45:00 - 01/01/2022 16:00:00","BZN|DE-LU","7727.75","8707.11","8930.22","9310.38"
"01/01/2022 16:00:00 - 01/01/2022 16:15:00","BZN|DE-LU","7809.57","8821.47","9040.07","9907.77"
"01/01/2022 16:15:00 - 01/01/2022 16:30:00","BZN|DE-LU","8130.18","9221.04","9429.87","10436.40"
"01/01/2022 16:30:00 - 01/01/2022 16:45:00","BZN|DE-LU","8448.45","9628.07","10015.83","10921.34"
"01/01/2022 16:45:00 - 01/01/2022 17:00:00","BZN|DE-LU","8765.09","10047.39","10474.90","11485.69"
"01/01/2022 17:00:00 - 01/01/2022 17:15:00","BZN|DE-LU","9072.11","10463.22","10886.69","12084.78"
"01/01/2022 17:15:00 - 01/01/2022 17:30:00","BZN|DE-LU","9467.65","10940.02","11389.94","12711.95"
"01/01/2022 17:30:00 - 01/01/2022 17:45:00","BZN|DE-LU","9847.45","11393.99","11879.47","13346.56"
"01/01/2022 17:45:00 - 01/01/2022 18:00:00","BZN|DE-LU","10235.82","11845.20","12394.83","13847.95"
"01/01/2022 18:00:00 - 01/01/2022 18:15:00","BZN|DE-LU","10608.95","12266.85","12861.14","14388.96"
"01/01/2022 18:15:00 - 01/01/2022 18:30:00","BZN|DE-LU","10986.23","12631.25","13199.28","14830.12"
"01/01/2022 18:30:00 - 01/01/2022 18:45:00","BZN|DE-LU","11365.32","12986.32","13500.62","15236.16"
"01/01/2022 18:45:00 - 01/01/2022 19:00:00","BZN|DE-LU","11740.04","13345.33","13993.54","15944.72"
"01/01/2022 19:00:00 - 01/01/2022 19:15:00","BZN|DE-LU","12097.88","13693.40","14395.56","16596.74"
"01/01/2022 19:15:00 - 01/01/2022 19:30:00","BZN|DE-LU","12419.04","13972.93","14837.39","16844.82"
"01/01/2022 19:30:00 - 01/01/2022 19:45:00","BZN|DE-LU","12738.50","14246.64","15155.25","17226.50"
"01/01/2022 19:45:00 - 01/01/2022 20:00:00","BZN|DE-LU","13058.51","14529.40","15435.31","17586.83"
"01/01/2022 20:00:00 - 01/01/2022 20:15:00","BZN|DE-LU","13370.95","14801.03","15548.20","17994.80"
"01/01/2022 20:15:00 - 01/01/2022 20:30:00","BZN|DE-LU","13660.40","15065.37","15820.31","17992.23"
"01/01/2022 20:30:00 - 01/01/2022 20:45:00","BZN|DE-LU","13947.51","15320.20","16112.56","18067.49"
"01/01/2022 20:45:00 - 01/01/2022 21:00:00","BZN|DE-LU","14228.13","15558.42","16326.88","18216.24"
"01/01/2022 21:00:00 - 01/01/2022 21:15:00","BZN|DE-LU","14516.76","15783.33","16563.19","18228.98"
"01/01/2022 21:15:00 - 01/01/2022 21:30:00","BZN|DE-LU","14810.90","16023.50","16713.11","18515.20"
"01/01/2022 21:30:00 - 01/01/2022 21:45:00","BZN|DE-LU","15106.57","16239.54","16877.03","18682.30"
"01/01/2022 21:45:00 - 01/01/2022 22:00:00","BZN|DE-LU","15409.77","16460.30","17016.44","18887.57"
"01/01/2022 22:00:00 - 01/01/2022 22:15:00","BZN|DE-LU","15479.36","16427.01","17034.59","18352.38"
"01/01/2022 22:15:00 - 01/01/2022 22:30:00","BZN|DE-LU","15701.50","16564.76","17197.24","18675.73"
"01/01/2022 22:30:00 - 01/01/2022 22:45:00","BZN|DE-LU","15932.93","16703.80","17249.33","18835.28"
"01/01/2022 22:45:00 - 01/01/2022 23:00:00","BZN|DE-LU","16178.81","16846.18","17263.84","18840.28"
"01/01/2022 23:00:00 - 01/01/2022 23:15:00","BZN|DE-LU","16429.54","16999.53","17378.18","18804.30"
"01/01/2022 23:15:00 - 01/01/2022 23:30:00","BZN|DE-LU","16683.88","17132.21","17637.95","18970.26"
"01/01/2022 23:30:00 - 01/01/2022 23:45:00","BZN|DE-LU","16942.53","17264.78","17755.36","18956.15"
"01/01/2022 23:45:00 - 02/01/2022 00:00:00","BZN|DE-LU","17199.21","17386.82","17790.69","19041.49"
"02/01/2022 00:00:00 - 02/01/2022 00:15:00","BZN|DE-LU","17309.45","18240.89","17976.03","19376.32"
"02/01/2022 00:15:00 - 02/01/2022 00:30:00","BZN|DE-LU","17402.30","18352.28","18066.61","19309.07"
"02/01/2022 00:30:00 - 02/01/2022 00:45:00","BZN|DE-LU","17474.90","18301.02","18014.58","18931.69"
"02/01/2022 00:45:00 - 02/01/2022 01:00:00","BZN|DE-LU","17561.67","18419.51","18145.51","18405.00"
"02/01/2022 01:00:00 - 02/01/2022 01:15:00","BZN|DE-LU","17642.48","18411.30","18128.63","18776.37"
"02/01/2022 01:15:00 - 02/01/2022 01:30:00","BZN|DE-LU","17695.02","18249.48","17964.48","19206.48"
"02/01/2022 01:30:00 - 02/01/2022 01:45:00","BZN|DE-LU","17737.41","18117.69","17843.69","19584.72"
"02/01/2022 01:45:00 - 02/01/2022 02:00:00","BZN|DE-LU","17771.81","18557.58","18263.08","17803.51"
"02/01/2022 02:00:00 - 02/01/2022 02:15:00","BZN|DE-LU","17806.75","18705.33","18403.11","17803.09"
"02/01/2022 02:15:00 - 02/01/2022 02:30:00","BZN|DE-LU","17862.01","18180.69","17866.58","18326.81"
"02/01/2022 02:30:00 - 02/01/2022 02:45:00","BZN|DE-LU","17907.86","17567.09","17240.31","18078.77"
"02/01/2022 02:45:00 - 02/01/2022 03:00:00","BZN|DE-LU","17956.17","17975.07","17624.51","18037.23"
"02/01/2022 03:00:00 - 02/01/2022 03:15:00","BZN|DE-LU","17995.06","17876.19","17545.41","18545.96"
"02/01/2022 03:15:00 - 02/01/2022 03:30:00","BZN|DE-LU","18029.98","17937.61","17579.17","19124.09"
"02/01/2022 03:30:00 - 02/01/2022 03:45:00","BZN|DE-LU","18076.25","18020.52","17644.52","19278.93"
"02/01/2022 03:45:00 - 02/01/2022 04:00:00","BZN|DE-LU","18118.48","18369.51","17969.73","19132.74"
"02/01/2022 04:00:00 - 02/01/2022 04:15:00","BZN|DE-LU","18155.09","18671.96","18246.63","18132.71"
"02/01/2022 04:15:00 - 02/01/2022 04:30:00","BZN|DE-LU","18126.27","18536.87","18122.20","18046.11"
"02/01/2022 04:30:00 - 02/01/2022 04:45:00","BZN|DE-LU","18100.61","18043.55","17661.55","18313.34"
"02/01/2022 04:45:00 - 02/01/2022 05:00:00","BZN|DE-LU","18080.14","18062.83","17668.16","18128.50"
"02/01/2022 05:00:00 - 02/01/2022 05:15:00","BZN|DE-LU","18064.30","17871.49","17468.27","18649.15"
"02/01/2022 05:15:00 - 02/01/2022 05:30:00","BZN|DE-LU","18093.28","18032.72","17630.83","18764.66"
"02/01/2022 05:30:00 - 02/01/2022 05:45:00","BZN|DE-LU","18125.41","18140.25","17700.25","18063.14"
"02/01/2022 05:45:00 - 02/01/2022 06:00:00","BZN|DE-LU","18157.39","17877.89","17462.56","17451.78"
"02/01/2022 06:00:00 - 02/01/2022 06:15:00","BZN|DE-LU","18442.19","18015.26","17570.48","18818.98"
"02/01/2022 06:15:00 - 02/01/2022 06:30:00","BZN|DE-LU","18551.84","17732.97","17335.19","18824.91"
"02/01/2022 06:30:00 - 02/01/2022 06:45:00","BZN|DE-LU","18663.10","17735.74","17302.18","19415.78"
"02/01/2022 06:45:00 - 02/01/2022 07:00:00","BZN|DE-LU","18771.95","18199.49","17757.60","19302.84"
"02/01/2022 07:00:00 - 02/01/2022 07:15:00","BZN|DE-LU","18891.99","18472.77","18032.44","19650.09"
"02/01/2022 07:15:00 - 02/01/2022 07:30:00","BZN|DE-LU","19057.15","18698.50","18255.50","20420.88"
"02/01/2022 07:30:00 - 02/01/2022 07:45:00","BZN|DE-LU","19229.77","19586.52","19140.85","21125.87"
"02/01/2022 07:45:00 - 02/01/2022 08:00:00","BZN|DE-LU","19412.07","19866.24","19712.36","21598.56"
"02/01/2022 08:00:00 - 02/01/2022 08:15:00","BZN|DE-LU","19614.34","20280.34","20330.40","22369.02"
"02/01/2022 08:15:00 - 02/01/2022 08:30:00","BZN|DE-LU","19860.14","20950.85","21112.64","22912.28"
"02/01/2022 08:30:00 - 02/01/2022 08:45:00","BZN|DE-LU","20118.37","21689.16","21851.37","22662.51"
"02/01/2022 08:45:00 - 02/01/2022 09:00:00","BZN|DE-LU","20374.04","21747.22","21921.75","23022.90"
"02/01/2022 09:00:00 - 02/01/2022 09:15:00","BZN|DE-LU","20667.67","22062.12","22240.56","23287.64"
"02/01/2022 09:15:00 - 02/01/2022 09:30:00","BZN|DE-LU","20958.25","22412.34","22549.88","23881.23"
"02/01/2022 09:30:00 - 02/01/2022 09:45:00","BZN|DE-LU","21290.86","22930.08","23242.77","23770.97"
"02/01/2022 09:45:00 - 02/01/2022 10:00:00","BZN|DE-LU","21619.55","23314.60","23219.79","23913.61"
"02/01/2022 10:00:00 - 02/01/2022 10:15:00","BZN|DE-LU","21927.88","23681.82","23345.29","24675.35"
"02/01/2022 10:15:00 - 02/01/2022 10:30:00","BZN|DE-LU","22205.63","24213.76","23840.34","24988.74"
"02/01/2022 10:30:00 - 02/01/2022 10:45:00","BZN|DE-LU","22447.97","24729.58","24141.05","24858.62"
"02/01/2022 10:45:00 - 02/01/2022 11:00:00","BZN|DE-LU","22668.19","25243.20","24716.74","25425.10"
"02/01/2022 11:00:00 - 02/01/2022 11:15:00","BZN|DE-LU","22886.45","25738.81","24917.80","26179.79"
"02/01/2022 11:15:00 - 02/01/2022 11:30:00","BZN|DE-LU","23395.94","26371.37","25730.67","26406.02"
"02/01/2022 11:30:00 - 02/01/2022 11:45:00","BZN|DE-LU","23907.52","27011.33","26309.48","26702.38"
"02/01/2022 11:45:00 - 02/01/2022 12:00:00","BZN|DE-LU","24390.96","27630.50","26728.82","27249.70"
"02/01/2022 12:00:00 - 02/01/2022 12:15:00","BZN|DE-LU","24814.57","28198.94","27474.17","28114.41"
"02/01/2022 12:15:00 - 02/01/2022 12:30:00","BZN|DE-LU","25350.96","28791.04","27984.30","28497.50"
"02/01/2022 12:30:00 - 02/01/2022 12:45:00","BZN|DE-LU","25882.76","29342.27","28362.25","28921.52"
"02/01/2022 12:45:00 - 02/01/2022 13:00:00","BZN|DE-LU","26428.57","29879.48","28796.55","30091.70"
"02/01/2022 13:00:00 - 02/01/2022 13:15:00","BZN|DE-LU","27032.57","30436.12","29319.38","29937.25"
"02/01/2022 13:15:00 - 02/01/2022 13:30:00","BZN|DE-LU","27645.65","30991.23","29436.20","30428.91"
"02/01/2022 13:30:00 - 02/01/2022 13:45:00","BZN|DE-LU","28201.18","31491.52","30153.18","30876.29"
"02/01/2022 13:45:00 - 02/01/2022 14:00:00","BZN|DE-LU","28738.53","31971.55","30360.57","30772.36"
"02/01/2022 14:00:00 - 02/01/2022 14:15:00","BZN|DE-LU","29241.85","31695.98","30475.52","31362.14"
"02/01/2022 14:15:00 - 02/01/2022 14:30:00","BZN|DE-LU","29832.13","32027.87","31012.99","32345.34"
"02/01/2022 14:30:00 - 02/01/2022 14:45:00","BZN|DE-LU","30451.46","32543.84","31276.88","32464.09"
"02/01/2022 14:45:00 - 02/01/2022 15:00:00","BZN|DE-LU","31036.17","33015.95","31643.22","32247.96"
"02/01/2022 15:00:00 - 02/01/2022 15:15:00","BZN|DE-LU","31571.98","33444.08","31880.18","33003.06"
"02/01/2022 15:15:00 - 02/01/2022 15:30:00","BZN|DE-LU","32014.40","33815.77","32059.42","33337.65"
"02/01/2022 15:30:00 - 02/01/2022 15:45:00","BZN|DE-LU","32440.14","34738.75","33381.67","34271.13"
"02/01/2022 15:45:00 - 02/01/2022 16:00:00","BZN|DE-LU","32823.98","35073.08","33141.72","33806.79"
"02/01/2022 16:00:00 - 02/01/2022 16:15:00","BZN|DE-LU","33174.44","35376.56","33636.99","33628.00"
"02/01/2022 16:15:00 - 02/01/2022 16:30:00","BZN|DE-LU","33418.30","35551.54","33387.88","34017.89"
"02/01/2022 16:30:00 - 02/01/2022 16:45:00","BZN|DE-LU","33650.04","35724.51","33657.94","35007.45"
"02/01/2022 16:45:00 - 02/01/2022 17:00:00","BZN|DE-LU","33887.71","35890.44","33724.98","35760.96"
"02/01/2022 17:00:00 - 02/01/2022 17:15:00","BZN|DE-LU","34098.89","36036.96","34203.39","35741.81"
"02/01/2022 17:15:00 - 02/01/2022 17:30:00","BZN|DE-LU","34210.67","36069.23","34419.45","35781.89"
"02/01/2022 17:30:00 - 02/01/2022 17:45:00","BZN|DE-LU","34314.47","36088.70","34678.12","36102.29"
"02/01/2022 17:45:00 - 02/01/2022 18:00:00","BZN|DE-LU","34422.20","36104.50","34931.95","35899.51"
"02/01/2022 18:00:00 - 02/01/2022 18:15:00","BZN|DE-LU","34506.97","36096.44","34988.33","36256.43"
"02/01/2022 18:15:00 - 02/01/2022 18:30:00","BZN|DE-LU","34538.55","35996.99","35151.76","36454.88"
"02/01/2022 18:30:00 - 02/01/2022 18:45:00","BZN|DE-LU","34568.31","35903.46","34691.73","36295.19"
"02/01/2022 18:45:00 - 02/01/2022 19:00:00","BZN|DE-LU","34582.74","35806.86","34672.32","35847.35"
"02/01/2022 19:00:00 - 02/01/2022 19:15:00","BZN|DE-LU","34597.73","35724.80","34930.10","35686.00"
"02/01/2022 19:15:00 - 02/01/2022 19:30:00","BZN|DE-LU","34519.00","35567.99","34727.08","35319.48"
"02/01/2022 19:30:00 - 02/01/2022 19:45:00","BZN|DE-LU","34442.14","35423.84","33814.55","34508.85"
"02/01/2022 19:45:00 - 02/01/2022 20:00:00","BZN|DE-LU","34322.52","35289.82","33440.88","34296.84"
"02/01/2022 20:00:00 - 02/01/2022 20:15:00","BZN|DE-LU","34178.06","35177.87","33203.48","34302.33"
"02/01/2022 20:15:00 - 02/01/2022 20:30:00","BZN|DE-LU","33977.26","34985.87","32972.59","34345.91"
"02/01/2022 20:30:00 - 02/01/2022 20:45:00","BZN|DE-LU","33846.58","34818.74","32487.74","33796.01"
