"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|DE-LU","34784.40","31243.18","31243.18","28886.32"
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|DE-LU","35870.19","30116.17","30116.17","28938.42"
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|DE-LU","35784.77","29249.91","29249.91","29345.53"
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|DE-LU","35658.58","29635.14","29635.14","28785.54"
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|DE-LU","35545.35","28852.28","28852.28","29509.72"
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|DE-LU","35433.06","29650.93","29650.93","29696.90"
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|DE-LU","35364.95","29492.15","29492.15","29391.94"
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|DE-LU","35318.83","30594.27","30594.27","29922.92"
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|DE-LU","35232.53","31019.75","31019.75","29320.02"
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|DE-LU","35179.80","29716.67","29716.67","29726.29"
"01/01/2023 02:30:00 - 01/01/2023 02:45:00","BZN|DE-LU","35120.28","29597.12","29597.12","29504.92"
"01/01/2023 02:45:00 - 01/01/2023 03:00:00","BZN|DE-LU","35053.53","30147.73","30147.73","29689.28"
"01/01/2023 03:00:00 - 01/01/2023 03:15:00","BZN|DE-LU","34975.61","30311.36","30311.36","28186.81"
"01/01/2023 03:15:00 - 01/01/2023 03:30:00","BZN|DE-LU","34373.67","29512.21","29512.21","27565.37"
"01/01/2023 03:30:00 - 01/01/2023 03:45:00","BZN|DE-LU","34275.85","28651.10","28651.10","27199.85"
"01/01/2023 03:45:00 - 01/01/2023 04:00:00","BZN|DE-LU","34169.79","28757.06","28757.06","27202.19"
"01/01/2023 04:00:00 - 01/01/2023 04:15:00","BZN|DE-LU","34064.78","27782.54","27782.54","27230.04"
"01/01/2023 04:15:00 - 01/01/2023 04:30:00","BZN|DE-LU","33960.70","27806.28","27806.28","26927.30"
"01/01/2023 04:30:00 - 01/01/2023 04:45:00","BZN|DE-LU","33852.86","27859.37","27859.37","26758.51"
"01/01/2023 04:45:00 - 01/01/2023 05:00:00","BZN|DE-LU","33742.23","28113.86","28113.86","27008.63"
"01/01/2023 05:00:00 - 01/01/2023 05:15:00","BZN|DE-LU","33617.55","28406.66","28406.66","27906.85"
"01/01/2023 05:15:00 - 01/01/2023 05:30:00","BZN|DE-LU","33462.49","28057.45","28057.45","27483.52"
"01/01/2023 05:30:00 - 01/01/2023 05:45:00","BZN|DE-LU","33285.49","28267.73","28267.73","27097.41"
"01/01/2023 05:45:00 - 01/01/2023 06:00:00","BZN|DE-LU","33085.75","28111.41","28111.41","27121.83"
"01/01/2023 06:00:00 - 01/01/2023 06:15:00","BZN|DE-LU","33488.25","29039.42","29039.42","27496.13"
"01/01/2023 06:15:00 - 01/01/2023 06:30:00","BZN|DE-LU","33195.67","27575.04","27575.04","27398.30"
"01/01/2023 06:30:00 - 01/01/2023 06:45:00","BZN|DE-LU","32818.33","27081.34","27081.34","27367.71"
"01/01/2023 06:45:00 - 01/01/2023 07:00:00","BZN|DE-LU","32324.91","27195.16","27195.16","27205.65"
"01/01/2023 07:00:00 - 01/01/2023 07:15:00","BZN|DE-LU","32008.44","27438.74","27438.74","27818.02"
"01/01/2023 07:15:00 - 01/01/2023 07:30:00","BZN|DE-LU","31724.04","27322.21","27334.21","27797.87"
"01/01/2023 07:30:00 - 01/01/2023 07:45:00","BZN|DE-LU","31518.76","26943.29","27023.79","27837.50"
"01/01/2023 07:45:00 - 01/01/2023 08:00:00","BZN|DE-LU","31309.37","26933.16","27032.17","27579.71"
"01/01/2023 08:00:00 - 01/01/2023 08:15:00","BZN|DE-LU","31048.79","26857.74","27090.81","27298.44"
"01/01/2023 08:15:00 - 01/01/2023 08:30:00","BZN|DE-LU","30848.55","26471.34","26699.69","27159.75"
"01/01/2023 08:30:00 - 01/01/2023 08:45:00","BZN|DE-LU","30618.32","26429.80","26470.23","26887.29"
"01/01/2023 08:45:00 - 01/01/2023 09:00:00","BZN|DE-LU","30374.98","26358.71","26333.87","26562.26"
"01/01/2023 09:00:00 - 01/01/2023 09:15:00","BZN|DE-LU","30168.94","26063.77","26013.05","26010.47"
"01/01/2023 09:15:00 - 01/01/2023 09:30:00","BZN|DE-LU","29840.24","25946.18","25882.16","26017.24"
"01/01/2023 09:30:00 - 01/01/2023 09:45:00","BZN|DE-LU","29508.04","25826.23","25801.78","25594.46"
"01/01/2023 09:45:00 - 01/01/2023 10:00:00","BZN|DE-LU","29182.92","25694.32","25214.76","25361.73"
"01/01/2023 10:00:00 - 01/01/2023 10:15:00","BZN|DE-LU","28828.91","25500.15","24958.89","25131.09"
"01/01/2023 10:15:00 - 01/01/2023 10:30:00","BZN|DE-LU","28421.93","25282.09","24689.95","24748.05"
"01/01/2023 10:30:00 - 01/01/2023 10:45:00","BZN|DE-LU","28027.12","25079.34","24489.00","24331.54"
"01/01/2023 10:45:00 - 01/01/2023 11:00:00","BZN|DE-LU","27636.62","24871.02","24477.14","23841.81"
"01/01/2023 11:00:00 - 01/01/2023 11:15:00","BZN|DE-LU","27232.23","24640.08","24194.88","23523.77"
"01/01/2023 11:15:00 - 01/01/2023 11:30:00","BZN|DE-LU","26747.47","24408.30","23667.25","23453.07"
"01/01/2023 11:30:00 - 01/01/2023 11:45:00","BZN|DE-LU","26251.95","24163.34","23011.53","23561.37"
"01/01/2023 11:45:00 - 01/01/2023 12:00:00","BZN|DE-LU","25728.30","24166.74","23041.00","23438.69"
"01/01/2023 12:00:00 - 01/01/2023 12:15:00","BZN|DE-LU","25155.62","23891.14","22800.38","22779.73"
"01/01/2023 12:15:00 - 01/01/2023 12:30:00","BZN|DE-LU","24566.25","23661.37","22825.32","22161.20"
"01/01/2023 12:30:00 - 01/01/2023 12:45:00","BZN|DE-LU","23999.07","23426.32","22529.78","21524.55"
"01/01/2023 12:45:00 - 01/01/2023 13:00:00","BZN|DE-LU","23448.73","23160.85","22293.09","21146.07"
"01/01/2023 13:00:00 - 01/01/2023 13:15:00","BZN|DE-LU","22885.26","22829.22","21659.83","21233.01"
"01/01/2023 13:15:00 - 01/01/2023 13:30:00","BZN|DE-LU","22332.14","22421.14","21100.02","20898.32"
"01/01/2023 13:30:00 - 01/01/2023 13:45:00","BZN|DE-LU","21746.02","21982.17","20895.09","20274.23"
"01/01/2023 13:45:00 - 01/01/2023 14:00:00","BZN|DE-LU","21134.26","21511.64","21069.63","20114.49"
"01/01/2023 14:00:00 - 01/01/2023 14:15:00","BZN|DE-LU","20526.16","22308.56","20742.51","21023.47"
"01/01/2023 14:15:00 - 01/01/2023 14:30:00","BZN|DE-LU","20161.46","22025.72","20568.44","20980.00"
"01/01/2023 14:30:00 - 01/01/2023 14:45:00","BZN|DE-LU","19743.27","21579.77","20179.05","20331.37"
"01/01/2023 14:45:00 - 01/01/2023 15:00:00","BZN|DE-LU","19274.30","21113.33","20376.79","20729.65"
"01/01/2023 15:00:00 - 01/01/2023 15:15:00","BZN|DE-LU","18806.57","20593.99","19832.57","21994.11"
"01/01/2023 15:15:00 - 01/01/2023 15:30:00","BZN|DE-LU","18487.89","20169.15","19578.66","22639.05"
"01/01/2023 15:30:00 - 01/01/2023 15:45:00","BZN|DE-LU","18218.15","19747.08","19365.91","22522.69"
"01/01/2023 15:45:00 - 01/01/2023 16:00:00","BZN|DE-LU","17972.87","19333.60","20045.66","22211.11"
"01/01/2023 16:00:00 - 01/01/2023 16:15:00","BZN|DE-LU","17784.07","18941.89","20044.22","21694.46"
"01/01/2023 16:15:00 - 01/01/2023 16:30:00","BZN|DE-LU","17716.38","18774.24","19917.25","21211.84"
"01/01/2023 16:30:00 - 01/01/2023 16:45:00","BZN|DE-LU","17714.99","18509.34","19769.63","20799.93"
"01/01/2023 16:45:00 - 01/01/2023 17:00:00","BZN|DE-LU","17574.10","18232.72","19459.73","20365.64"
"01/01/2023 17:00:00 - 01/01/2023 17:15:00","BZN|DE-LU","17595.19","18004.90","18974.86","20055.19"
"01/01/2023 17:15:00 - 01/01/2023 17:30:00","BZN|DE-LU","17745.62","17930.22","18694.09","19972.34"
"01/01/2023 17:30:00 - 01/01/2023 17:45:00","BZN|DE-LU","17917.94","17879.42","18463.86","19963.52"
"01/01/2023 17:45:00 - 01/01/2023 18:00:00","BZN|DE-LU","18016.37","17801.45","18161.16","19980.82"
"01/01/2023 18:00:00 - 01/01/2023 18:15:00","BZN|DE-LU","18190.71","17763.29","17842.07","19875.40"
"01/01/2023 18:15:00 - 01/01/2023 18:30:00","BZN|DE-LU","18354.95","17860.00","18325.34","19741.23"
"01/01/2023 18:30:00 - 01/01/2023 18:45:00","BZN|DE-LU","18437.30","17786.96","18349.68","19763.44"
"01/01/2023 18:45:00 - 01/01/2023 19:00:00","BZN|DE-LU","18576.89","17763.80","18371.77","19540.86"
"01/01/2023 19:00:00 - 01/01/2023 19:15:00","BZN|DE-LU","18789.68","17809.03","18448.17","19300.49"
"01/01/2023 19:15:00 - 01/01/2023 19:30:00","BZN|DE-LU","18908.13","17775.33","18398.10","19381.34"
"01/01/2023 19:30:00 - 01/01/2023 19:45:00","BZN|DE-LU","18963.34","17675.89","18493.10","19431.08"
"01/01/2023 19:45:00 - 01/01/2023 20:00:00","BZN|DE-LU","18984.84","17513.50","18392.66","19482.19"
"01/01/2023 20:00:00 - 01/01/2023 20:15:00","BZN|DE-LU","18908.35","17268.27","18296.93","19651.54"
"01/01/2023 20:15:00 - 01/01/2023 20:30:00","BZN|DE-LU","18418.31","16815.60","18351.89","19705.75"
"01/01/2023 20:30:00 - 01/01/2023 20:45:00","BZN|DE-LU","18001.08","16434.10","18390.78","19762.67"
"01/01/2023 20:45:00 - 01/01/2023 21:00:00","BZN|DE-LU","18014.91","16350.95","18467.35","19955.53"
"01/01/2023 21:00:00 - 01/01/2023 21:15:00","BZN|DE-LU","18046.71","16268.39","18411.12","20081.14"
"01/01/2023 21:15:00 - 01/01/2023 21:30:00","BZN|DE-LU","18103.24","16175.25","18544.57","19771.09"
"01/01/2023 21:30:00 - 01/01/2023 21:45:00","BZN|DE-LU","18161.81","16085.91","18529.81","19394.04"
"01/01/2023 21:45:00 - 01/01/2023 22:00:00","BZN|DE-LU","18235.54","16016.85","18722.23","19178.13"
"01/01/2023 22:00:00 - 01/01/2023 22:15:00","BZN|DE-LU","18108.38","15780.04","18462.43","18881.14"
"01/01/2023 22:15:00 - 01/01/2023 22:30:00","BZN|DE-LU","18173.51","15710.09","18261.55","18666.89"
"01/01/2023 22:30:00 - 01/01/2023 22:45:00","BZN|DE-LU","18239.08","15643.56","18272.41","18528.30"
"01/01/2023 22:45:00 - 01/01/2023 23:00:00","BZN|DE-LU","18299.07","15584.27","18376.29","18384.69"
"01/01/2023 23:00:00 - 01/01/2023 23:15:00","BZN|DE-LU","18350.00","15540.64","18337.94","18201.74"
"01/01/2023 23:15:00 - 01/01/2023 23:30:00","BZN|DE-LU","18428.33","15578.01","18336.04","18269.74"
"01/01/2023 23:30:00 - 01/01/2023 23:45:00","BZN|DE-LU","18501.61","15613.43","18222.04","18406.79"
"01/01/2023 23:45:00 - 02/01/2023 00:00:00","BZN|DE-LU","19143.06","16030.96","18166.48","18416.08"
"02/01/2023 00:00:00 - 02/01/2023 00:15:00","BZN|DE-LU","17238.21","18410.13","18410.13","18565.69"
"02/01/2023 00:15:00 - 02/01/2023 00:30:00","BZN|DE-LU","17399.67","18486.05","18486.05","18780.61"
"02/01/2023 00:30:00 - 02/01/2023 00:45:00","BZN|DE-LU","17548.12","18527.32","18527.32","18919.45"
"02/01/2023 00:45:00 - 02/01/2023 01:00:00","BZN|DE-LU","17690.41","18592.43","18592.43","18912.99"
"02/01/2023 01:00:00 - 02/01/2023 01:15:00","BZN|DE-LU","17845.92","18671.87","18671.87","19146.41"
"02/01/2023 01:15:00 - 02/01/2023 01:30:00","BZN|DE-LU","18091.35","18994.53","18994.53","19450.66"
"02/01/2023 01:30:00 - 02/01/2023 01:45:00","BZN|DE-LU","18366.82","19271.63","19271.63","19388.70"
"02/01/2023 01:45:00 - 02/01/2023 02:00:00","BZN|DE-LU","18658.39","19467.60","19467.60","19302.37"
"02/01/2023 02:00:00 - 02/01/2023 02:15:00","BZN|DE-LU","18961.82","19692.24","19692.24","20419.93"
"02/01/2023 02:15:00 - 02/01/2023 02:30:00","BZN|DE-LU","19332.09","20095.61","20095.61","21210.62"
"02/01/2023 02:30:00 - 02/01/2023 02:45:00","BZN|DE-LU","19712.34","20437.65","20437.65","21475.46"
"02/01/2023 02:45:00 - 02/01/2023 03:00:00","BZN|DE-LU","20088.09","20727.37","20727.37","21692.07"
"02/01/2023 03:00:00 - 02/01/2023 03:15:00","BZN|DE-LU","20458.83","21477.89","21477.89","22115.07"
"02/01/2023 03:15:00 - 02/01/2023 03:30:00","BZN|DE-LU","20811.03","21946.27","21946.27","22632.93"
"02/01/2023 03:30:00 - 02/01/2023 03:45:00","BZN|DE-LU","21160.60","22470.07","22470.07","23149.32"
"02/01/2023 03:45:00 - 02/01/2023 04:00:00","BZN|DE-LU","21506.43","22953.75","22953.75","23480.54"
"02/01/2023 04:00:00 - 02/01/2023 04:15:00","BZN|DE-LU","21845.52","23322.35","23322.35","24240.01"
"02/01/2023 04:15:00 - 02/01/2023 04:30:00","BZN|DE-LU","22111.94","23831.57","23831.57","24618.47"
"02/01/2023 04:30:00 - 02/01/2023 04:45:00","BZN|DE-LU","22381.79","24132.51","24132.51","24909.04"
"02/01/2023 04:45:00 - 02/01/2023 05:00:00","BZN|DE-LU","22645.42","24256.47","24256.47","25500.25"
"02/01/2023 05:00:00 - 02/01/2023 05:15:00","BZN|DE-LU","22911.59","24692.88","24692.88","25465.13"
"02/01/2023 05:15:00 - 02/01/2023 05:30:00","BZN|DE-LU","23154.78","25008.58","25008.58","25625.78"
"02/01/2023 05:30:00 - 02/01/2023 05:45:00","BZN|DE-LU","23401.01","25219.02","25219.02","26045.41"
"02/01/2023 05:45:00 - 02/01/2023 06:00:00","BZN|DE-LU","23647.52","25503.19","25503.19","26637.33"
"02/01/2023 06:00:00 - 02/01/2023 06:15:00","BZN|DE-LU","24164.32","26186.65","26186.65","27362.29"
"02/01/2023 06:15:00 - 02/01/2023 06:30:00","BZN|DE-LU","24414.74","26413.92","26413.92","27861.99"
"02/01/2023 06:30:00 - 02/01/2023 06:45:00","BZN|DE-LU","24652.93","26870.13","26870.13","27902.51"
"02/01/2023 06:45:00 - 02/01/2023 07:00:00","BZN|DE-LU","24846.80","26938.08","26938.08","28143.71"
"02/01/2023 07:00:00 - 02/01/2023 07:15:00","BZN|DE-LU","24919.29","27257.59","27257.59","28591.29"
"02/01/2023 07:15:00 - 02/01/2023 07:30:00","BZN|DE-LU","24988.10","27445.88","27428.88","28835.44"
"02/01/2023 07:30:00 - 02/01/2023 07:45:00","BZN|DE-LU","25106.09","27786.87","27765.58","29285.19"
"02/01/2023 07:45:00 - 02/01/2023 08:00:00","BZN|DE-LU","25243.30","27877.87","28194.45","30110.47"
"02/01/2023 08:00:00 - 02/01/2023 08:15:00","BZN|DE-LU","25369.42","28113.98","28423.24","30336.23"
"02/01/2023 08:15:00 - 02/01/2023 08:30:00","BZN|DE-LU","25445.84","28074.41","28844.14","30414.92"
"02/01/2023 08:30:00 - 02/01/2023 08:45:00","BZN|DE-LU","25528.72","27979.10","29499.78","30732.21"
"02/01/2023 08:45:00 - 02/01/2023 09:00:00","BZN|DE-LU","25607.67","27916.80","29631.12","30588.64"
"02/01/2023 09:00:00 - 02/01/2023 09:15:00","BZN|DE-LU","25660.65","28005.03","29725.37","30840.44"
"02/01/2023 09:15:00 - 02/01/2023 09:30:00","BZN|DE-LU","25591.34","27750.66","29417.02","30618.44"
"02/01/2023 09:30:00 - 02/01/2023 09:45:00","BZN|DE-LU","25524.41","27501.35","29048.04","30262.02"
"02/01/2023 09:45:00 - 02/01/2023 10:00:00","BZN|DE-LU","25449.07","27250.04","29428.79","29829.87"
"02/01/2023 10:00:00 - 02/01/2023 10:15:00","BZN|DE-LU","25377.54","26995.85","29144.18","29269.94"
"02/01/2023 10:15:00 - 02/01/2023 10:30:00","BZN|DE-LU","25229.83","26663.38","28884.46","28963.54"
"02/01/2023 10:30:00 - 02/01/2023 10:45:00","BZN|DE-LU","25082.84","26337.36","28466.69","28190.37"
"02/01/2023 10:45:00 - 02/01/2023 11:00:00","BZN|DE-LU","24957.39","26040.66","28073.94","27658.45"
"02/01/2023 11:00:00 - 02/01/2023 11:15:00","BZN|DE-LU","24842.34","25744.89","28000.52","27434.10"
"02/01/2023 11:15:00 - 02/01/2023 11:30:00","BZN|DE-LU","24722.62","25524.98","27574.72","27443.35"
"02/01/2023 11:30:00 - 02/01/2023 11:45:00","BZN|DE-LU","24599.43","25307.89","27140.04","27146.65"
"02/01/2023 11:45:00 - 02/01/2023 12:00:00","BZN|DE-LU","24461.00","25093.23","27070.12","27008.01"
"02/01/2023 12:00:00 - 02/01/2023 12:15:00","BZN|DE-LU","24312.90","24887.15","26963.07","27053.99"
"02/01/2023 12:15:00 - 02/01/2023 12:30:00","BZN|DE-LU","24129.41","24686.78","26769.78","26893.36"
"02/01/2023 12:30:00 - 02/01/2023 12:45:00","BZN|DE-LU","23965.49","24476.66","26457.71","26716.42"
"02/01/2023 12:45:00 - 02/01/2023 13:00:00","BZN|DE-LU","23820.54","24280.34","26522.32","26464.84"
"02/01/2023 13:00:00 - 02/01/2023 13:15:00","BZN|DE-LU","23699.91","24080.27","26158.29","26405.66"
"02/01/2023 13:15:00 - 02/01/2023 13:30:00","BZN|DE-LU","23537.00","23879.64","25451.75","25876.04"
"02/01/2023 13:30:00 - 02/01/2023 13:45:00","BZN|DE-LU","23336.45","23677.50","25075.92","25434.92"
"02/01/2023 13:45:00 - 02/01/2023 14:00:00","BZN|DE-LU","23113.96","23483.53","24553.22","25331.15"
"02/01/2023 14:00:00 - 02/01/2023 14:15:00","BZN|DE-LU","22874.70","23309.72","23878.12","25199.76"
"02/01/2023 14:15:00 - 02/01/2023 14:30:00","BZN|DE-LU","22764.11","23148.56","23474.18","25081.29"
"02/01/2023 14:30:00 - 02/01/2023 14:45:00","BZN|DE-LU","22657.07","22983.20","23644.18","24707.17"
"02/01/2023 14:45:00 - 02/01/2023 15:00:00","BZN|DE-LU","22547.04","22819.43","23432.72","24197.69"
"02/01/2023 15:00:00 - 02/01/2023 15:15:00","BZN|DE-LU","22456.83","22665.49","22957.85","23782.56"
"02/01/2023 15:15:00 - 02/01/2023 15:30:00","BZN|DE-LU","22448.38","22467.14","22591.23","23418.10"
"02/01/2023 15:30:00 - 02/01/2023 15:45:00","BZN|DE-LU","22434.58","22272.51","22135.17","23360.10"
"02/01/2023 15:45:00 - 02/01/2023 16:00:00","BZN|DE-LU","22422.68","22074.25","21897.34","23540.83"
"02/01/2023 16:00:00 - 02/01/2023 16:15:00","BZN|DE-LU","22404.81","21880.11","21273.79","23367.84"
"02/01/2023 16:15:00 - 02/01/2023 16:30:00","BZN|DE-LU","22384.54","21732.41","21135.28","22756.01"
"02/01/2023 16:30:00 - 02/01/2023 16:45:00","BZN|DE-LU","22356.19","21584.99","21300.16","22540.42"
"02/01/2023 16:45:00 - 02/01/2023 17:00:00","BZN|DE-LU","22330.81","21434.95","21420.87","22308.89"
"02/01/2023 17:00:00 - 02/01/2023 17:15:00","BZN|DE-LU","22305.24","21290.25","21201.52","22357.21"
"02/01/2023 17:15:00 - 02/01/2023 17:30:00","BZN|DE-LU","22303.11","21216.28","21137.91","22479.51"
"02/01/2023 17:30:00 - 02/01/2023 17:45:00","BZN|DE-LU","22298.84","21138.04","21210.61","22901.21"
"02/01/2023 17:45:00 - 02/01/2023 18:00:00","BZN|DE-LU","22279.61","21056.25","21278.84","23427.30"
"02/01/2023 18:00:00 - 02/01/2023 18:15:00","BZN|DE-LU","22281.93","20996.47","21762.97","23453.39"
"02/01/2023 18:15:00 - 02/01/2023 18:30:00","BZN|DE-LU","22330.70","20965.56","22084.60","23450.81"
"02/01/2023 18:30:00 - 02/01/2023 18:45:00","BZN|DE-LU","22419.43","20970.05","22476.65","23362.69"
"02/01/2023 18:45:00 - 02/01/2023 19:00:00","BZN|DE-LU","22558.87","21046.21","22522.19","23426.52"
