"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2016 00:00:00 - 01/01/2016 00:15:00","BZN|DE-AT-LU","6336.39","5157.00"," ","7140.69"
"01/01/2016 00:15:00 - 01/01/2016 00:30:00","BZN|DE-AT-LU","6298.23","5038.00"," ","6901.44"
"01/01/2016 00:30:00 - 01/01/2016 00:45:00","BZN|DE-AT-LU","6250.69","5019.00"," ","6746.94"
"01/01/2016 00:45:00 - 01/01/2016 01:00:00","BZN|DE-AT-LU","6231.69","5109.00"," ","6642.65"
"01/01/2016 01:00:00 - 01/01/2016 01:15:00","BZN|DE-AT-LU","6229.65","4901.88"," ","6637.97"
"01/01/2016 01:15:00 - 01/01/2016 01:30:00","BZN|DE-AT-LU","6172.56","4887.72"," ","6563.32"
"01/01/2016 01:30:00 - 01/01/2016 01:45:00","BZN|DE-AT-LU","6093.32","4873.07"," ","6591.19"
"01/01/2016 01:45:00 - 01/01/2016 02:00:00","BZN|DE-AT-LU","6041.74","4861.99"," ","6604.75"
"01/01/2016 02:00:00 - 01/01/2016 02:15:00","BZN|DE-AT-LU","6005.13","4847.84"," ","6596.96"
"01/01/2016 02:15:00 - 01/01/2016 02:30:00","BZN|DE-AT-LU","5934.58","4838.32"," ","6566.99"
"01/01/2016 02:30:00 - 01/01/2016 02:45:00","BZN|DE-AT-LU","5883.83","4831.79"," ","6526.85"
"01/01/2016 02:45:00 - 01/01/2016 03:00:00","BZN|DE-AT-LU","5845.02","4825.41"," ","6532.41"
"01/01/2016 03:00:00 - 01/01/2016 03:15:00","BZN|DE-AT-LU","5820.77","4816.37"," ","6552.86"
"01/01/2016 03:15:00 - 01/01/2016 03:30:00","BZN|DE-AT-LU","5767.75","4788.44"," ","6615.23"
"01/01/2016 03:30:00 - 01/01/2016 03:45:00","BZN|DE-AT-LU","5687.26","4759.02"," ","6621.15"
"01/01/2016 03:45:00 - 01/01/2016 04:00:00","BZN|DE-AT-LU","5609.27","4724.85"," ","6612.84"
"01/01/2016 04:00:00 - 01/01/2016 04:15:00","BZN|DE-AT-LU","5558.27","4694.80"," ","6615.83"
"01/01/2016 04:15:00 - 01/01/2016 04:30:00","BZN|DE-AT-LU","5522.92","4637.29"," ","6615.87"
"01/01/2016 04:30:00 - 01/01/2016 04:45:00","BZN|DE-AT-LU","5472.32","4579.00"," ","6588.77"
"01/01/2016 04:45:00 - 01/01/2016 05:00:00","BZN|DE-AT-LU","5420.94","4518.73"," ","6431.80"
"01/01/2016 05:00:00 - 01/01/2016 05:15:00","BZN|DE-AT-LU","5405.28","4459.08"," ","6156.04"
"01/01/2016 05:15:00 - 01/01/2016 05:30:00","BZN|DE-AT-LU","5385.60","4377.00"," ","5949.26"
"01/01/2016 05:30:00 - 01/01/2016 05:45:00","BZN|DE-AT-LU","5351.89","4294.00"," ","5786.45"
"01/01/2016 05:45:00 - 01/01/2016 06:00:00","BZN|DE-AT-LU","5322.12","4206.61"," ","5742.65"
"01/01/2016 06:00:00 - 01/01/2016 06:15:00","BZN|DE-AT-LU","5281.70","4123.99"," ","5644.66"
"01/01/2016 06:15:00 - 01/01/2016 06:30:00","BZN|DE-AT-LU","5234.07","4068.46"," ","5480.27"
"01/01/2016 06:30:00 - 01/01/2016 06:45:00","BZN|DE-AT-LU","5167.79","3983.01"," ","5261.75"
"01/01/2016 06:45:00 - 01/01/2016 07:00:00","BZN|DE-AT-LU","5081.38","3886.66"," ","5122.69"
"01/01/2016 07:00:00 - 01/01/2016 07:15:00","BZN|DE-AT-LU","5011.87","3825.68"," ","4939.86"
"01/01/2016 07:15:00 - 01/01/2016 07:30:00","BZN|DE-AT-LU","4924.49","3705.90"," ","4810.70"
"01/01/2016 07:30:00 - 01/01/2016 07:45:00","BZN|DE-AT-LU","4819.41","3566.91"," ","4683.42"
"01/01/2016 07:45:00 - 01/01/2016 08:00:00","BZN|DE-AT-LU","4717.42","3434.36"," ","4529.02"
"01/01/2016 08:00:00 - 01/01/2016 08:15:00","BZN|DE-AT-LU","4615.71","3321.45"," ","4322.52"
"01/01/2016 08:15:00 - 01/01/2016 08:30:00","BZN|DE-AT-LU","4507.41","3221.41"," ","4111.52"
"01/01/2016 08:30:00 - 01/01/2016 08:45:00","BZN|DE-AT-LU","4394.43","3101.39"," ","3961.99"
"01/01/2016 08:45:00 - 01/01/2016 09:00:00","BZN|DE-AT-LU","4274.04","2972.79"," ","3809.88"
"01/01/2016 09:00:00 - 01/01/2016 09:15:00","BZN|DE-AT-LU","4141.21","2850.97"," ","3634.26"
"01/01/2016 09:15:00 - 01/01/2016 09:30:00","BZN|DE-AT-LU","4002.61","2733.03"," ","3425.90"
