"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2017 00:00 - 01/01/2017 00:15","BZN|DE-AT-LU","54484.60","47219.99"
"01/01/2017 00:15 - 01/01/2017 00:30","BZN|DE-AT-LU","54295.10","46683.78"
"01/01/2017 00:30 - 01/01/2017 00:45","BZN|DE-AT-LU","54198.37","45836.03"
"01/01/2017 00:45 - 01/01/2017 01:00","BZN|DE-AT-LU","53696.78","45427.79"
"01/01/2017 01:00 - 01/01/2017 01:15","BZN|DE-AT-LU","53447.60","44764.72"
"01/01/2017 01:15 - 01/01/2017 01:30","BZN|DE-AT-LU","52830.16","44266.23"
"01/01/2017 01:30 - 01/01/2017 01:45","BZN|DE-AT-LU","52321.62","44083.47"
"01/01/2017 01:45 - 01/01/2017 02:00","BZN|DE-AT-LU","51913.28","43647.37"
"01/01/2017 02:00 - 01/01/2017 02:15","BZN|DE-AT-LU","51607.24","43399.77"
"01/01/2017 02:15 - 01/01/2017 02:30","BZN|DE-AT-LU","51275.82","43393.74"
"01/01/2017 02:30 - 01/01/2017 02:45","BZN|DE-AT-LU","50775.09","43184.88"
"01/01/2017 02:45 - 01/01/2017 03:00","BZN|DE-AT-LU","50341.15","42725.20"
"01/01/2017 03:00 - 01/01/2017 03:15","BZN|DE-AT-LU","49893.23","42713.26"
"01/01/2017 03:15 - 01/01/2017 03:30","BZN|DE-AT-LU","49581.63","42813.47"
"01/01/2017 03:30 - 01/01/2017 03:45","BZN|DE-AT-LU","49427.93","42825.48"
"01/01/2017 03:45 - 01/01/2017 04:00","BZN|DE-AT-LU","49189.28","42811.68"
"01/01/2017 04:00 - 01/01/2017 04:15","BZN|DE-AT-LU","49028.54","42946.09"
"01/01/2017 04:15 - 01/01/2017 04:30","BZN|DE-AT-LU","48696.79","42946.73"
"01/01/2017 04:30 - 01/01/2017 04:45","BZN|DE-AT-LU","48491.31","42572.72"
"01/01/2017 04:45 - 01/01/2017 05:00","BZN|DE-AT-LU","48219.30","42811.58"
"01/01/2017 05:00 - 01/01/2017 05:15","BZN|DE-AT-LU","48003.83","43123.79"
"01/01/2017 05:15 - 01/01/2017 05:30","BZN|DE-AT-LU","47708.51","42483.84"
"01/01/2017 05:30 - 01/01/2017 05:45","BZN|DE-AT-LU","47259.84","42375.32"
"01/01/2017 05:45 - 01/01/2017 06:00","BZN|DE-AT-LU","47050.60","41743.01"
"01/01/2017 06:00 - 01/01/2017 06:15","BZN|DE-AT-LU","46092.45","41405.45"
"01/01/2017 06:15 - 01/01/2017 06:30","BZN|DE-AT-LU","46053.09","41010.30"
"01/01/2017 06:30 - 01/01/2017 06:45","BZN|DE-AT-LU","46128.63","41159.41"
"01/01/2017 06:45 - 01/01/2017 07:00","BZN|DE-AT-LU","46280.72","40617.45"
"01/01/2017 07:00 - 01/01/2017 07:15","BZN|DE-AT-LU","46619.07","42738.57"
"01/01/2017 07:15 - 01/01/2017 07:30","BZN|DE-AT-LU","46723.08","43308.80"
"01/01/2017 07:30 - 01/01/2017 07:45","BZN|DE-AT-LU","46894.19","43271.81"
"01/01/2017 07:45 - 01/01/2017 08:00","BZN|DE-AT-LU","47172.77","43983.85"
"01/01/2017 08:00 - 01/01/2017 08:15","BZN|DE-AT-LU","47656.75","45827.09"
"01/01/2017 08:15 - 01/01/2017 08:30","BZN|DE-AT-LU","47829.04","46606.44"
"01/01/2017 08:30 - 01/01/2017 08:45","BZN|DE-AT-LU","48140.69","46734.70"
"01/01/2017 08:45 - 01/01/2017 09:00","BZN|DE-AT-LU","48720.46","47775.47"
"01/01/2017 09:00 - 01/01/2017 09:15","BZN|DE-AT-LU","49834.81","49289.58"
"01/01/2017 09:15 - 01/01/2017 09:30","BZN|DE-AT-LU","50574.29","50046.27"
"01/01/2017 09:30 - 01/01/2017 09:45","BZN|DE-AT-LU","51244.22","50760.77"
"01/01/2017 09:45 - 01/01/2017 10:00","BZN|DE-AT-LU","51797.21","51554.58"
"01/01/2017 10:00 - 01/01/2017 10:15","BZN|DE-AT-LU","52573.67","51908.98"
"01/01/2017 10:15 - 01/01/2017 10:30","BZN|DE-AT-LU","53280.44","53666.34"
"01/01/2017 10:30 - 01/01/2017 10:45","BZN|DE-AT-LU","53843.62","53605.27"
"01/01/2017 10:45 - 01/01/2017 11:00","BZN|DE-AT-LU","54617.99","54825.44"
"01/01/2017 11:00 - 01/01/2017 11:15","BZN|DE-AT-LU","55373.89","55001.10"
"01/01/2017 11:15 - 01/01/2017 11:30","BZN|DE-AT-LU","56076.81","55636.84"
"01/01/2017 11:30 - 01/01/2017 11:45","BZN|DE-AT-LU","56606.62","56186.27"
"01/01/2017 11:45 - 01/01/2017 12:00","BZN|DE-AT-LU","56826.42","56688.18"
"01/01/2017 12:00 - 01/01/2017 12:15","BZN|DE-AT-LU","57241.43","56412.53"
"01/01/2017 12:15 - 01/01/2017 12:30","BZN|DE-AT-LU","57091.28","56245.31"
"01/01/2017 12:30 - 01/01/2017 12:45","BZN|DE-AT-LU","56957.38","55817.20"
"01/01/2017 12:45 - 01/01/2017 13:00","BZN|DE-AT-LU","56647.95","55155.83"
"01/01/2017 13:00 - 01/01/2017 13:15","BZN|DE-AT-LU","56385.84","54673.15"
"01/01/2017 13:15 - 01/01/2017 13:30","BZN|DE-AT-LU","55912.94","54329.65"
"01/01/2017 13:30 - 01/01/2017 13:45","BZN|DE-AT-LU","55618.34","53723.83"
"01/01/2017 13:45 - 01/01/2017 14:00","BZN|DE-AT-LU","55250.27","53400.56"
"01/01/2017 14:00 - 01/01/2017 14:15","BZN|DE-AT-LU","55133.36","53086.01"
"01/01/2017 14:15 - 01/01/2017 14:30","BZN|DE-AT-LU","54979.07","52495.82"
"01/01/2017 14:30 - 01/01/2017 14:45","BZN|DE-AT-LU","54742.60","53927.92"
"01/01/2017 14:45 - 01/01/2017 15:00","BZN|DE-AT-LU","54462.89","52226.65"
"01/01/2017 15:00 - 01/01/2017 15:15","BZN|DE-AT-LU","54971.24","53176.82"
"01/01/2017 15:15 - 01/01/2017 15:30","BZN|DE-AT-LU","55044.13","52702.55"
