"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","MTU (CET/CEST) Start","MTU (CET/CEST) End","SummerIndicator","MTU (CET/CEST) End UTC"
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|DE-AT-LU","Without Sequence",22.34,"05/01/2015 00:00:00","2015-01-05T01:00","CET","2015-01-05T00:00"
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|DE-AT-LU","Without Sequence",17.93,"05/01/2015 01:00:00","2015-01-05T02:00","CET","2015-01-05T01:00"
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|DE-AT-LU","Without Sequence",15.17,"05/01/2015 02:00:00","2015-01-05T03:00","CET","2015-01-05T02:00"
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|DE-AT-LU","Without Sequence",16.38,"05/01/2015 03:00:00","2015-01-05T04:00","CET","2015-01-05T03:00"
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|DE-AT-LU","Without Sequence",17.38,"05/01/2015 04:00:00","2015-01-05T05:00","CET","2015-01-05T04:00"
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|DE-AT-LU","Without Sequence",16.38,"05/01/2015 05:00:00","2015-01-05T06:00","CET","2015-01-05T05:00"
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|DE-AT-LU","Without Sequence",26.61,"05/01/2015 06:00:00","2015-01-05T07:00","CET","2015-01-05T06:00"
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|DE-AT-LU","Without Sequence",37.63,"05/01/2015 07:00:00","2015-01-05T08:00","CET","2015-01-05T07:00"
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|DE-AT-LU","Without Sequence",39.09,"05/01/2015 08:00:00","2015-01-05T09:00","CET","2015-01-05T08:00"
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|DE-AT-LU","Without Sequence",41.51,"05/01/2015 09:00:00","2015-01-05T10:00","CET","2015-01-05T09:00"
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|DE-AT-LU","Without Sequence",40.46,"05/01/2015 10:00:00","2015-01-05T11:00","CET","2015-01-05T10:00"
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|DE-AT-LU","Without Sequence",40.97,"05/01/2015 11:00:00","2015-01-05T12:00","CET","2015-01-05T11:00"
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|DE-AT-LU","Without Sequence",40.72,"05/01/2015 12:00:00","2015-01-05T13:00","CET","2015-01-05T12:00"
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|DE-AT-LU","Without Sequence",41.92,"05/01/2015 13:00:00","2015-01-05T14:00","CET","2015-01-05T13:00"
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|DE-AT-LU","Without Sequence",42,"05/01/2015 14:00:00","2015-01-05T15:00","CET","2015-01-05T14:00"
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|DE-AT-LU","Without Sequence",43.1,"05/01/2015 15:00:00","2015-01-05T16:00","CET","2015-01-05T15:00"
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|DE-AT-LU","Without Sequence",46.7,"05/01/2015 16:00:00","2015-01-05T17:00","CET","2015-01-05T16:00"
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|DE-AT-LU","Without Sequence",56.78,"05/01/2015 17:00:00","2015-01-05T18:00","CET","2015-01-05T17:00"
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|DE-AT-LU","Without Sequence",58.84,"05/01/2015 18:00:00","2015-01-05T19:00","CET","2015-01-05T18:00"
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|DE-AT-LU","Without Sequence",49.23,"05/01/2015 19:00:00","2015-01-05T20:00","CET","2015-01-05T19:00"
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|DE-AT-LU","Without Sequence",44.32,"05/01/2015 20:00:00","2015-01-05T21:00","CET","2015-01-05T20:00"
