"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2022 00:00:00 - 01/01/2022 00:15:00","BZN|DE-LU","0.00","0.00","0.00","1.91"
"01/01/2022 00:15:00 - 01/01/2022 00:30:00","BZN|DE-LU","0.00","0.00","0.00","1.68"
"01/01/2022 00:30:00 - 01/01/2022 00:45:00","BZN|DE-LU","0.00","0.00","0.00","1.70"
"01/01/2022 00:45:00 - 01/01/2022 01:00:00","BZN|DE-LU","0.00","0.00","0.00","1.62"
"01/01/2022 01:00:00 - 01/01/2022 01:15:00","BZN|DE-LU","0.00","0.00","0.00","1.70"
"01/01/2022 01:15:00 - 01/01/2022 01:30:00","BZN|DE-LU","0.00","0.00","0.00","1.71"
"01/01/2022 01:30:00 - 01/01/2022 01:45:00","BZN|DE-LU","0.00","0.00","0.00","1.75"
"01/01/2022 01:45:00 - 01/01/2022 02:00:00","BZN|DE-LU","0.00","0.00","0.00","1.82"
"01/01/2022 02:00:00 - 01/01/2022 02:15:00","BZN|DE-LU","0.00","0.00","0.00","1.78"
"01/01/2022 02:15:00 - 01/01/2022 02:30:00","BZN|DE-LU","0.00","0.00","0.00","1.74"
"01/01/2022 02:30:00 - 01/01/2022 02:45:00","BZN|DE-LU","0.00","0.00","0.00","1.78"
"01/01/2022 02:45:00 - 01/01/2022 03:00:00","BZN|DE-LU","0.00","0.00","0.00","1.78"
"01/01/2022 03:00:00 - 01/01/2022 03:15:00","BZN|DE-LU","0.00","0.00","0.00","1.79"
"01/01/2022 03:15:00 - 01/01/2022 03:30:00","BZN|DE-LU","0.00","0.00","0.00","1.79"
"01/01/2022 03:30:00 - 01/01/2022 03:45:00","BZN|DE-LU","0.00","0.00","0.00","1.79"
"01/01/2022 03:45:00 - 01/01/2022 04:00:00","BZN|DE-LU","0.00","0.00","0.00","1.81"
"01/01/2022 04:00:00 - 01/01/2022 04:15:00","BZN|DE-LU","0.00","0.00","0.00","1.73"
"01/01/2022 04:15:00 - 01/01/2022 04:30:00","BZN|DE-LU","0.00","0.00","0.00","1.75"
"01/01/2022 04:30:00 - 01/01/2022 04:45:00","BZN|DE-LU","0.00","0.00","0.00","1.78"
"01/01/2022 04:45:00 - 01/01/2022 05:00:00","BZN|DE-LU","0.00","0.00","0.00","1.82"
"01/01/2022 05:00:00 - 01/01/2022 05:15:00","BZN|DE-LU","0.00","0.00","0.00","1.79"
"01/01/2022 05:15:00 - 01/01/2022 05:30:00","BZN|DE-LU","0.00","0.00","0.00","1.82"
"01/01/2022 05:30:00 - 01/01/2022 05:45:00","BZN|DE-LU","0.00","0.00","0.00","1.84"
"01/01/2022 05:45:00 - 01/01/2022 06:00:00","BZN|DE-LU","0.00","0.00","0.00","1.83"
"01/01/2022 06:00:00 - 01/01/2022 06:15:00","BZN|DE-LU","0.00","0.00","0.00","1.85"
"01/01/2022 06:15:00 - 01/01/2022 06:30:00","BZN|DE-LU","0.00","0.00","0.00","1.81"
"01/01/2022 06:30:00 - 01/01/2022 06:45:00","BZN|DE-LU","0.00","0.00","0.00","1.88"
"01/01/2022 06:45:00 - 01/01/2022 07:00:00","BZN|DE-LU","0.00","0.00","0.00","1.83"
"01/01/2022 07:00:00 - 01/01/2022 07:15:00","BZN|DE-LU","0.00","0.00","0.00","1.86"
"01/01/2022 07:15:00 - 01/01/2022 07:30:00","BZN|DE-LU","0.00","0.00","0.00","1.84"
"01/01/2022 07:30:00 - 01/01/2022 07:45:00","BZN|DE-LU","0.00","0.00","0.00","2.03"
"01/01/2022 07:45:00 - 01/01/2022 08:00:00","BZN|DE-LU","0.00","0.11","0.11","2.48"
"01/01/2022 08:00:00 - 01/01/2022 08:15:00","BZN|DE-LU","17.13","22.30","4.24","5.36"
"01/01/2022 08:15:00 - 01/01/2022 08:30:00","BZN|DE-LU","103.03","120.34","53.86","52.71"
"01/01/2022 08:30:00 - 01/01/2022 08:45:00","BZN|DE-LU","439.02","436.96","312.93","257.36"
