"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 00:15:00","BZN|DE-LU","0.00","0.00","0.00","2.28"
"01/01/2023 00:15:00 - 01/01/2023 00:30:00","BZN|DE-LU","0.00","0.00","0.00","1.73"
"01/01/2023 00:30:00 - 01/01/2023 00:45:00","BZN|DE-LU","0.00","0.00","0.00","1.43"
"01/01/2023 00:45:00 - 01/01/2023 01:00:00","BZN|DE-LU","0.00","0.00","0.00","1.73"
"01/01/2023 01:00:00 - 01/01/2023 01:15:00","BZN|DE-LU","0.00","0.00","0.00","1.51"
"01/01/2023 01:15:00 - 01/01/2023 01:30:00","BZN|DE-LU","0.00","0.00","0.00","1.74"
"01/01/2023 01:30:00 - 01/01/2023 01:45:00","BZN|DE-LU","0.00","0.00","0.00","1.67"
"01/01/2023 01:45:00 - 01/01/2023 02:00:00","BZN|DE-LU","0.00","0.00","0.00","1.68"
"01/01/2023 02:00:00 - 01/01/2023 02:15:00","BZN|DE-LU","0.00","0.00","0.00","2.61"
"01/01/2023 02:15:00 - 01/01/2023 02:30:00","BZN|DE-LU","0.00","0.00","0.00","1.47"
"01/01/2023 02:30:00 - 01/01/2023 02:45:00","BZN|DE-LU","0.00","0.00","0.00","1.45"
"01/01/2023 02:45:00 - 01/01/2023 03:00:00","BZN|DE-LU","0.00","0.00","0.00","1.66"
"01/01/2023 03:00:00 - 01/01/2023 03:15:00","BZN|DE-LU","0.00","0.00","0.00","1.68"
"01/01/2023 03:15:00 - 01/01/2023 03:30:00","BZN|DE-LU","0.00","0.00","0.00","1.74"
"01/01/2023 03:30:00 - 01/01/2023 03:45:00","BZN|DE-LU","0.00","0.00","0.00","1.82"
"01/01/2023 03:45:00 - 01/01/2023 04:00:00","BZN|DE-LU","0.00","0.00","0.00","1.78"
"01/01/2023 04:00:00 - 01/01/2023 04:15:00","BZN|DE-LU","0.00","0.00","0.00","2.57"
"01/01/2023 04:15:00 - 01/01/2023 04:30:00","BZN|DE-LU","0.00","0.00","0.00","1.91"
"01/01/2023 04:30:00 - 01/01/2023 04:45:00","BZN|DE-LU","0.00","0.00","0.00","2.10"
"01/01/2023 04:45:00 - 01/01/2023 05:00:00","BZN|DE-LU","0.00","0.00","0.00","1.93"
"01/01/2023 05:00:00 - 01/01/2023 05:15:00","BZN|DE-LU","0.00","0.00","0.00","3.86"
"01/01/2023 05:15:00 - 01/01/2023 05:30:00","BZN|DE-LU","0.00","0.00","0.00","1.85"
"01/01/2023 05:30:00 - 01/01/2023 05:45:00","BZN|DE-LU","0.00","0.00","0.00","1.71"
"01/01/2023 05:45:00 - 01/01/2023 06:00:00","BZN|DE-LU","0.00","0.00","0.00","1.89"
"01/01/2023 06:00:00 - 01/01/2023 06:15:00","BZN|DE-LU","0.00","0.00","0.00","2.21"
"01/01/2023 06:15:00 - 01/01/2023 06:30:00","BZN|DE-LU","0.00","0.00","0.00","1.72"
"01/01/2023 06:30:00 - 01/01/2023 06:45:00","BZN|DE-LU","0.00","0.00","0.00","1.77"
"01/01/2023 06:45:00 - 01/01/2023 07:00:00","BZN|DE-LU","0.00","0.00","0.00","2.13"
"01/01/2023 07:00:00 - 01/01/2023 07:15:00","BZN|DE-LU","0.00","0.00","0.00","1.86"
