"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|DE-LU","0.00","0.00","0.00","3.48"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|DE-LU","0.00","0.00","0.00","3.56"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|DE-LU","0.00","0.00","0.00","2.76"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|DE-LU","0.00","0.00","0.00","2.73"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|DE-LU","0.00","0.00","0.00","3.44"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|DE-LU","0.00","0.00","0.00","2.79"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|DE-LU","0.00","0.00","0.00","2.91"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|DE-LU","0.00","0.00","0.00","2.75"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|DE-LU","0.00","0.00","0.00","3.38"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|DE-LU","0.00","0.00","0.00","2.68"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|DE-LU","0.00","0.00","0.00","2.86"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|DE-LU","0.00","0.00","0.00","2.84"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|DE-LU","0.00","0.00","0.00","3.49"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|DE-LU","0.00","0.00","0.00","2.83"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|DE-LU","0.00","0.00","0.00","3.57"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|DE-LU","0.00","0.00","0.00","2.84"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|DE-LU","0.00","0.00","0.00","2.73"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|DE-LU","0.00","0.00","0.00","2.86"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|DE-LU","0.00","0.00","0.00","2.80"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|DE-LU","0.00","0.00","0.00","2.68"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|DE-LU","0.00","0.00","0.00","2.61"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|DE-LU","0.00","0.00","0.00","2.65"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|DE-LU","0.00","0.00","0.00","3.43"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|DE-LU","0.00","0.00","0.00","3.57"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|DE-LU","0.00","0.00","0.00","2.79"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|DE-LU","0.00","0.00","0.00","2.93"
"01/01/2024 06:30:00 - 01/01/2024 06:45:00","BZN|DE-LU","0.00","0.00","0.00","3.28"
"01/01/2024 06:45:00 - 01/01/2024 07:00:00","BZN|DE-LU","0.00","0.00","0.00","3.79"
"01/01/2024 07:00:00 - 01/01/2024 07:15:00","BZN|DE-LU","0.00","0.00","0.00","3.08"
"01/01/2024 07:15:00 - 01/01/2024 07:30:00","BZN|DE-LU","0.00","0.00","0.00","3.99"
"01/01/2024 07:30:00 - 01/01/2024 07:45:00","BZN|DE-LU","0.00","0.00","0.00","4.31"
"01/01/2024 07:45:00 - 01/01/2024 08:00:00","BZN|DE-LU","0.00","0.00","0.00","4.92"
"01/01/2024 08:00:00 - 01/01/2024 08:15:00","BZN|DE-LU","52.58","41.52","41.32","9.96"
"01/01/2024 08:15:00 - 01/01/2024 08:30:00","BZN|DE-LU","297.97","290.30","277.94","87.27"
"01/01/2024 08:30:00 - 01/01/2024 08:45:00","BZN|DE-LU","771.66","818.65","797.27","491.92"
"01/01/2024 08:45:00 - 01/01/2024 09:00:00","BZN|DE-LU","1421.62","1543.15","1498.51","1112.48"
"01/01/2024 09:00:00 - 01/01/2024 09:15:00","BZN|DE-LU","2180.85","2364.91","2267.31","1936.39"
"01/01/2024 09:15:00 - 01/01/2024 09:30:00","BZN|DE-LU","3047.71","3263.75","3192.80","2834.96"
"01/01/2024 09:30:00 - 01/01/2024 09:45:00","BZN|DE-LU","3964.72","4202.10","4080.17","3656.39"
"01/01/2024 09:45:00 - 01/01/2024 10:00:00","BZN|DE-LU","4825.50","5071.14","5008.82","4458.39"
"01/01/2024 10:00:00 - 01/01/2024 10:15:00","BZN|DE-LU","5596.51","5859.67","5846.40","5308.46"
"01/01/2024 10:15:00 - 01/01/2024 10:30:00","BZN|DE-LU","6318.94","6561.98","6607.59","6109.39"
"01/01/2024 10:30:00 - 01/01/2024 10:45:00","BZN|DE-LU","6941.33","7150.55","7253.73","6752.81"
"01/01/2024 10:45:00 - 01/01/2024 11:00:00","BZN|DE-LU","7430.03","7610.52","7902.33","7246.17"
"01/01/2024 11:00:00 - 01/01/2024 11:15:00","BZN|DE-LU","7810.81","7995.35","8445.92","7794.02"
"01/01/2024 11:15:00 - 01/01/2024 11:30:00","BZN|DE-LU","8112.04","8314.46","8896.51","8201.95"
"01/01/2024 11:30:00 - 01/01/2024 11:45:00","BZN|DE-LU","8300.11","8506.17","9221.03","8363.62"
"01/01/2024 11:45:00 - 01/01/2024 12:00:00","BZN|DE-LU","8368.16","8552.55","9328.73","8286.99"
"01/01/2024 12:00:00 - 01/01/2024 12:15:00","BZN|DE-LU","8353.38","8512.66","9295.26","8145.59"
"01/01/2024 12:15:00 - 01/01/2024 12:30:00","BZN|DE-LU","8235.61","8372.01","9121.16","8039.16"
"01/01/2024 12:30:00 - 01/01/2024 12:45:00","BZN|DE-LU","8043.35","8186.38","8854.80","7710.41"
"01/01/2024 12:45:00 - 01/01/2024 13:00:00","BZN|DE-LU","7784.92","7981.41","8489.21","7332.02"
"01/01/2024 13:00:00 - 01/01/2024 13:15:00","BZN|DE-LU","7494.66","7741.64","8119.76","6996.16"
"01/01/2024 13:15:00 - 01/01/2024 13:30:00","BZN|DE-LU","7151.81","7438.94","7581.69","6637.10"
"01/01/2024 13:30:00 - 01/01/2024 13:45:00","BZN|DE-LU","6738.72","7048.04","7053.99","6217.20"
"01/01/2024 13:45:00 - 01/01/2024 14:00:00","BZN|DE-LU","6240.67","6568.03","6419.74","5710.38"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","BZN|DE-LU","5666.38","5928.65","5744.50","5258.34"
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","BZN|DE-LU","5010.56","5280.25","5024.17","4605.20"
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","BZN|DE-LU","4274.00","4525.81","4283.01","3875.65"
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","BZN|DE-LU","3509.89","3722.34","3575.67","3127.95"
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","BZN|DE-LU","2775.18","2950.31","2823.25","2386.68"
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","BZN|DE-LU","2054.77","2221.94","2129.15","1689.47"
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","BZN|DE-LU","1369.38","1545.22","1456.61","1057.53"
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","BZN|DE-LU","768.72","938.00","832.19","583.08"
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","BZN|DE-LU","329.84","450.51","380.98","249.08"
