"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2020 00:00:00 - 01/01/2020 00:15:00","BZN|DE-LU","0.00","0.00","0.00","0.11"
"01/01/2020 00:15:00 - 01/01/2020 00:30:00","BZN|DE-LU","0.00","0.00","0.00","0.09"
"01/01/2020 00:30:00 - 01/01/2020 00:45:00","BZN|DE-LU","0.00","0.00","0.00","0.10"
"01/01/2020 00:45:00 - 01/01/2020 01:00:00","BZN|DE-LU","0.00","0.00","0.00","0.11"
"01/01/2020 01:00:00 - 01/01/2020 01:15:00","BZN|DE-LU","0.00","0.00","0.00","0.11"
"01/01/2020 01:15:00 - 01/01/2020 01:30:00","BZN|DE-LU","0.00","0.00","0.00","0.12"
"01/01/2020 01:30:00 - 01/01/2020 01:45:00","BZN|DE-LU","0.00","0.00","0.00","0.10"
"01/01/2020 01:45:00 - 01/01/2020 02:00:00","BZN|DE-LU","0.00","0.00","0.00","0.10"
"01/01/2020 02:00:00 - 01/01/2020 02:15:00","BZN|DE-LU","0.00","0.00","0.00","0.11"
"01/01/2020 02:15:00 - 01/01/2020 02:30:00","BZN|DE-LU","0.00","0.00","0.00","0.12"
"01/01/2020 02:30:00 - 01/01/2020 02:45:00","BZN|DE-LU","0.00","0.00","0.00","0.11"
"01/01/2020 02:45:00 - 01/01/2020 03:00:00","BZN|DE-LU","0.00","0.00","0.00","0.10"
"01/01/2020 03:00:00 - 01/01/2020 03:15:00","BZN|DE-LU","0.00","0.00","0.00","0.11"
"01/01/2020 03:15:00 - 01/01/2020 03:30:00","BZN|DE-LU","0.00","0.00","0.00","0.11"
"01/01/2020 03:30:00 - 01/01/2020 03:45:00","BZN|DE-LU","0.00","0.00","0.00","0.12"
"01/01/2020 03:45:00 - 01/01/2020 04:00:00","BZN|DE-LU","0.00","0.00","0.00","0.12"
"01/01/2020 04:00:00 - 01/01/2020 04:15:00","BZN|DE-LU","0.00","0.00","0.00","0.14"
"01/01/2020 04:15:00 - 01/01/2020 04:30:00","BZN|DE-LU","0.00","0.00","0.00","0.13"
"01/01/2020 04:30:00 - 01/01/2020 04:45:00","BZN|DE-LU","0.00","0.00","0.00","0.13"
"01/01/2020 04:45:00 - 01/01/2020 05:00:00","BZN|DE-LU","0.00","0.00","0.00","0.15"
"01/01/2020 05:00:00 - 01/01/2020 05:15:00","BZN|DE-LU","0.00","0.00","0.00","0.15"
"01/01/2020 05:15:00 - 01/01/2020 05:30:00","BZN|DE-LU","0.00","0.00","0.00","0.15"
"01/01/2020 05:30:00 - 01/01/2020 05:45:00","BZN|DE-LU","0.00","0.00","0.00","0.16"
"01/01/2020 05:45:00 - 01/01/2020 06:00:00","BZN|DE-LU","0.00","0.00","0.00","0.17"
"01/01/2020 06:00:00 - 01/01/2020 06:15:00","BZN|DE-LU","0.00","0.00","0.00","0.18"
"01/01/2020 06:15:00 - 01/01/2020 06:30:00","BZN|DE-LU","0.00","0.00","0.00","0.20"
"01/01/2020 06:30:00 - 01/01/2020 06:45:00","BZN|DE-LU","0.00","0.00","0.00","0.20"
"01/01/2020 06:45:00 - 01/01/2020 07:00:00","BZN|DE-LU","0.00","0.00","0.00","0.20"
"01/01/2020 07:00:00 - 01/01/2020 07:15:00","BZN|DE-LU","0.00","0.00","0.00","0.24"
"01/01/2020 07:15:00 - 01/01/2020 07:30:00","BZN|DE-LU","0.00","0.00","0.00","0.28"
"01/01/2020 07:30:00 - 01/01/2020 07:45:00","BZN|DE-LU","0.00","0.00","0.00","0.45"
"01/01/2020 07:45:00 - 01/01/2020 08:00:00","BZN|DE-LU","0.00","0.00","0.00","0.68"
"01/01/2020 08:00:00 - 01/01/2020 08:15:00","BZN|DE-LU","12.60","12.22","6.01","8.88"
"01/01/2020 08:15:00 - 01/01/2020 08:30:00","BZN|DE-LU","105.47","88.94","44.69","103.71"
"01/01/2020 08:30:00 - 01/01/2020 08:45:00","BZN|DE-LU","359.59","359.30","189.53","410.70"
"01/01/2020 08:45:00 - 01/01/2020 09:00:00","BZN|DE-LU","837.10","896.49","501.28","943.19"
"01/01/2020 09:00:00 - 01/01/2020 09:15:00","BZN|DE-LU","1485.19","1635.24","933.42","1684.88"
"01/01/2020 09:15:00 - 01/01/2020 09:30:00","BZN|DE-LU","2279.45","2525.81","1538.62","2572.13"
"01/01/2020 09:30:00 - 01/01/2020 09:45:00","BZN|DE-LU","3107.23","3486.02","2146.25","3455.68"
"01/01/2020 09:45:00 - 01/01/2020 10:00:00","BZN|DE-LU","3941.62","4459.02","2769.21","4410.85"
"01/01/2020 10:00:00 - 01/01/2020 10:15:00","BZN|DE-LU","4721.08","5344.45","3414.29","5326.75"
"01/01/2020 10:15:00 - 01/01/2020 10:30:00","BZN|DE-LU","5466.16","6196.71","4017.53","6186.67"
"01/01/2020 10:30:00 - 01/01/2020 10:45:00","BZN|DE-LU","6152.09","7003.20","4550.96","7035.64"
"01/01/2020 10:45:00 - 01/01/2020 11:00:00","BZN|DE-LU","6797.65","7764.33","5181.62","7925.43"
"01/01/2020 11:00:00 - 01/01/2020 11:15:00","BZN|DE-LU","7373.95","8453.30","5722.21","8671.07"
"01/01/2020 11:15:00 - 01/01/2020 11:30:00","BZN|DE-LU","7879.28","9063.81","6021.63","9330.36"
"01/01/2020 11:30:00 - 01/01/2020 11:45:00","BZN|DE-LU","8304.75","9564.81","6339.73","9903.46"
"01/01/2020 11:45:00 - 01/01/2020 12:00:00","BZN|DE-LU","8642.24","9965.69","6625.64","10330.30"
"01/01/2020 12:00:00 - 01/01/2020 12:15:00","BZN|DE-LU","8870.88","10267.84","6865.43","10734.76"
"01/01/2020 12:15:00 - 01/01/2020 12:30:00","BZN|DE-LU","8997.44","10431.81","6944.91","10882.33"
"01/01/2020 12:30:00 - 01/01/2020 12:45:00","BZN|DE-LU","9003.83","10471.72","7003.94","11051.57"
"01/01/2020 12:45:00 - 01/01/2020 13:00:00","BZN|DE-LU","8909.85","10385.73","6972.11","10901.03"
"01/01/2020 13:00:00 - 01/01/2020 13:15:00","BZN|DE-LU","8730.03","10229.65","6869.76","10700.57"
