"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 00:00:00 - 01/01/2021 00:15:00","BZN|DE-LU","0.00","0.00","0.00","1.25"
"01/01/2021 00:15:00 - 01/01/2021 00:30:00","BZN|DE-LU","0.00","0.00","0.00","1.24"
"01/01/2021 00:30:00 - 01/01/2021 00:45:00","BZN|DE-LU","0.00","0.00","0.00","1.23"
"01/01/2021 00:45:00 - 01/01/2021 01:00:00","BZN|DE-LU","0.00","0.00","0.00","1.19"
"01/01/2021 01:00:00 - 01/01/2021 01:15:00","BZN|DE-LU","0.00","0.00","0.00","1.32"
"01/01/2021 01:15:00 - 01/01/2021 01:30:00","BZN|DE-LU","0.00","0.00","0.00","1.22"
"01/01/2021 01:30:00 - 01/01/2021 01:45:00","BZN|DE-LU","0.00","0.00","0.00","1.22"
"01/01/2021 01:45:00 - 01/01/2021 02:00:00","BZN|DE-LU","0.00","0.00","0.00","1.25"
"01/01/2021 02:00:00 - 01/01/2021 02:15:00","BZN|DE-LU","0.00","0.00","0.00","1.29"
"01/01/2021 02:15:00 - 01/01/2021 02:30:00","BZN|DE-LU","0.00","0.00","0.00","1.26"
"01/01/2021 02:30:00 - 01/01/2021 02:45:00","BZN|DE-LU","0.00","0.00","0.00","1.31"
"01/01/2021 02:45:00 - 01/01/2021 03:00:00","BZN|DE-LU","0.00","0.00","0.00","1.27"
"01/01/2021 03:00:00 - 01/01/2021 03:15:00","BZN|DE-LU","0.00","0.00","0.00","1.28"
"01/01/2021 03:15:00 - 01/01/2021 03:30:00","BZN|DE-LU","0.00","0.00","0.00","1.27"
"01/01/2021 03:30:00 - 01/01/2021 03:45:00","BZN|DE-LU","0.00","0.00","0.00","1.30"
"01/01/2021 03:45:00 - 01/01/2021 04:00:00","BZN|DE-LU","0.00","0.00","0.00","1.33"
"01/01/2021 04:00:00 - 01/01/2021 04:15:00","BZN|DE-LU","0.00","0.00","0.00","1.38"
"01/01/2021 04:15:00 - 01/01/2021 04:30:00","BZN|DE-LU","0.00","0.00","0.00","1.40"
"01/01/2021 04:30:00 - 01/01/2021 04:45:00","BZN|DE-LU","0.00","0.00","0.00","1.24"
"01/01/2021 04:45:00 - 01/01/2021 05:00:00","BZN|DE-LU","0.00","0.00","0.00","1.25"
"01/01/2021 05:00:00 - 01/01/2021 05:15:00","BZN|DE-LU","0.00","0.00","0.00","1.34"
"01/01/2021 05:15:00 - 01/01/2021 05:30:00","BZN|DE-LU","0.00","0.00","0.00","1.32"
"01/01/2021 05:30:00 - 01/01/2021 05:45:00","BZN|DE-LU","0.00","0.00","0.00","1.32"
"01/01/2021 05:45:00 - 01/01/2021 06:00:00","BZN|DE-LU","0.00","0.00","0.00","1.45"
"01/01/2021 06:00:00 - 01/01/2021 06:15:00","BZN|DE-LU","0.00","0.00","0.00","1.29"
"01/01/2021 06:15:00 - 01/01/2021 06:30:00","BZN|DE-LU","0.00","0.00","0.00","1.24"
"01/01/2021 06:30:00 - 01/01/2021 06:45:00","BZN|DE-LU","0.00","0.00","0.00","1.21"
"01/01/2021 06:45:00 - 01/01/2021 07:00:00","BZN|DE-LU","0.00","0.00","0.00","1.22"
"01/01/2021 07:00:00 - 01/01/2021 07:15:00","BZN|DE-LU","0.00","0.00","0.00","1.22"
"01/01/2021 07:15:00 - 01/01/2021 07:30:00","BZN|DE-LU","0.00","0.00","0.00","1.29"
"01/01/2021 07:30:00 - 01/01/2021 07:45:00","BZN|DE-LU","0.00","0.00","0.00","1.37"
"01/01/2021 07:45:00 - 01/01/2021 08:00:00","BZN|DE-LU","0.00","0.27","0.00","1.55"
"01/01/2021 08:00:00 - 01/01/2021 08:15:00","BZN|DE-LU","6.60","6.80","5.96","22.94"
"01/01/2021 08:15:00 - 01/01/2021 08:30:00","BZN|DE-LU","55.75","49.96","34.86","83.08"
"01/01/2021 08:30:00 - 01/01/2021 08:45:00","BZN|DE-LU","245.90","205.76","137.30","211.19"
"01/01/2021 08:45:00 - 01/01/2021 09:00:00","BZN|DE-LU","445.49","394.68","258.89","450.16"
"01/01/2021 09:00:00 - 01/01/2021 09:15:00","BZN|DE-LU","719.19","685.42","445.00","762.56"
"01/01/2021 09:15:00 - 01/01/2021 09:30:00","BZN|DE-LU","1062.42","1033.21","677.30","1112.45"
"01/01/2021 09:30:00 - 01/01/2021 09:45:00","BZN|DE-LU","1431.63","1403.56","935.23","1528.85"
"01/01/2021 09:45:00 - 01/01/2021 10:00:00","BZN|DE-LU","1846.39","1801.75","1188.21","1936.57"
"01/01/2021 10:00:00 - 01/01/2021 10:15:00","BZN|DE-LU","2235.71","2178.71","1450.32","2358.43"
"01/01/2021 10:15:00 - 01/01/2021 10:30:00","BZN|DE-LU","2595.40","2544.27","1719.19","2749.96"
"01/01/2021 10:30:00 - 01/01/2021 10:45:00","BZN|DE-LU","2940.95","2887.69","1969.07","3152.83"
"01/01/2021 10:45:00 - 01/01/2021 11:00:00","BZN|DE-LU","3265.58","3209.81","2264.02","3496.58"
"01/01/2021 11:00:00 - 01/01/2021 11:15:00","BZN|DE-LU","3570.42","3519.09","2472.72","3824.51"
"01/01/2021 11:15:00 - 01/01/2021 11:30:00","BZN|DE-LU","3841.73","3791.83","2725.62","4122.18"
"01/01/2021 11:30:00 - 01/01/2021 11:45:00","BZN|DE-LU","4057.43","4005.88","2884.58","4372.25"
"01/01/2021 11:45:00 - 01/01/2021 12:00:00","BZN|DE-LU","4223.84","4183.26","3055.36","4544.23"
"01/01/2021 12:00:00 - 01/01/2021 12:15:00","BZN|DE-LU","4339.42","4304.31","3162.29","4755.32"
"01/01/2021 12:15:00 - 01/01/2021 12:30:00","BZN|DE-LU","4375.48","4358.20","3236.81","4831.98"
