"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2017 00:00:00 - 01/01/2017 00:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.13"
"01/01/2017 00:15:00 - 01/01/2017 00:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 00:30:00 - 01/01/2017 00:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.15"
"01/01/2017 00:45:00 - 01/01/2017 01:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.17"
"01/01/2017 01:00:00 - 01/01/2017 01:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.15"
"01/01/2017 01:15:00 - 01/01/2017 01:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.14"
"01/01/2017 01:30:00 - 01/01/2017 01:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.14"
"01/01/2017 01:45:00 - 01/01/2017 02:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.11"
"01/01/2017 02:00:00 - 01/01/2017 02:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.13"
"01/01/2017 02:15:00 - 01/01/2017 02:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.13"
"01/01/2017 02:30:00 - 01/01/2017 02:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.13"
"01/01/2017 02:45:00 - 01/01/2017 03:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 03:00:00 - 01/01/2017 03:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.13"
"01/01/2017 03:15:00 - 01/01/2017 03:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 03:30:00 - 01/01/2017 03:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.16"
"01/01/2017 03:45:00 - 01/01/2017 04:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.10"
"01/01/2017 04:00:00 - 01/01/2017 04:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 04:15:00 - 01/01/2017 04:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 04:30:00 - 01/01/2017 04:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 04:45:00 - 01/01/2017 05:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.14"
"01/01/2017 05:00:00 - 01/01/2017 05:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 05:15:00 - 01/01/2017 05:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.14"
"01/01/2017 05:30:00 - 01/01/2017 05:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 05:45:00 - 01/01/2017 06:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.17"
"01/01/2017 06:00:00 - 01/01/2017 06:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 06:15:00 - 01/01/2017 06:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.13"
"01/01/2017 06:30:00 - 01/01/2017 06:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 06:45:00 - 01/01/2017 07:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.13"
"01/01/2017 07:00:00 - 01/01/2017 07:15:00","BZN|DE-AT-LU","7.83","0.00","0.00","7.96"
"01/01/2017 07:15:00 - 01/01/2017 07:30:00","BZN|DE-AT-LU","7.83","0.00","0.00","8.97"
"01/01/2017 07:30:00 - 01/01/2017 07:45:00","BZN|DE-AT-LU","9.43","0.00","0.00","9.08"
"01/01/2017 07:45:00 - 01/01/2017 08:00:00","BZN|DE-AT-LU","10.02","0.00","0.00","9.21"
"01/01/2017 08:00:00 - 01/01/2017 08:15:00","BZN|DE-AT-LU","46.79","20.45","3.09","32.30"
"01/01/2017 08:15:00 - 01/01/2017 08:30:00","BZN|DE-AT-LU","188.04","95.95","40.80","100.92"
"01/01/2017 08:30:00 - 01/01/2017 08:45:00","BZN|DE-AT-LU","510.44","245.56","175.06","295.48"
"01/01/2017 08:45:00 - 01/01/2017 09:00:00","BZN|DE-AT-LU","989.54","433.53","358.59","683.80"
"01/01/2017 09:00:00 - 01/01/2017 09:15:00","BZN|DE-AT-LU","1606.96","642.16","497.66","1184.05"
"01/01/2017 09:15:00 - 01/01/2017 09:30:00","BZN|DE-AT-LU","2248.96","869.76","611.53","1734.95"
"01/01/2017 09:30:00 - 01/01/2017 09:45:00","BZN|DE-AT-LU","2953.29","1101.99","802.60","2309.50"
"01/01/2017 09:45:00 - 01/01/2017 10:00:00","BZN|DE-AT-LU","3670.54","1329.29","963.40","3001.49"
"01/01/2017 10:00:00 - 01/01/2017 10:15:00","BZN|DE-AT-LU","4395.11","1550.23","1156.66","3727.35"
"01/01/2017 10:15:00 - 01/01/2017 10:30:00","BZN|DE-AT-LU","5048.12","1765.24","1346.59","4379.60"
"01/01/2017 10:30:00 - 01/01/2017 10:45:00","BZN|DE-AT-LU","5684.26","1975.61","1552.43","4921.32"
"01/01/2017 10:45:00 - 01/01/2017 11:00:00","BZN|DE-AT-LU","6264.06","2180.81","1791.18","5592.50"
"01/01/2017 11:00:00 - 01/01/2017 11:15:00","BZN|DE-AT-LU","6765.00","2356.69","2045.18","6145.04"
"01/01/2017 11:15:00 - 01/01/2017 11:30:00","BZN|DE-AT-LU","7177.24","2497.43","2246.44","6601.11"
"01/01/2017 11:30:00 - 01/01/2017 11:45:00","BZN|DE-AT-LU","7529.67","2624.27","2391.26","7060.02"
"01/01/2017 11:45:00 - 01/01/2017 12:00:00","BZN|DE-AT-LU","7808.67","2727.95","2514.54","7455.80"
"01/01/2017 12:00:00 - 01/01/2017 12:15:00","BZN|DE-AT-LU","7980.66","2801.96","2644.54","7775.93"
"01/01/2017 12:15:00 - 01/01/2017 12:30:00","BZN|DE-AT-LU","8036.89","2844.81","2704.89","7868.96"
"01/01/2017 12:30:00 - 01/01/2017 12:45:00","BZN|DE-AT-LU","8007.51","2859.33","2775.78","7966.75"
"01/01/2017 12:45:00 - 01/01/2017 13:00:00","BZN|DE-AT-LU","7904.00","2848.40","2646.32","7859.74"
"01/01/2017 13:00:00 - 01/01/2017 13:15:00","BZN|DE-AT-LU","7686.73","2797.34","2591.49","7558.23"
"01/01/2017 13:15:00 - 01/01/2017 13:30:00","BZN|DE-AT-LU","7359.57","2692.11","2493.07","7317.85"
"01/01/2017 13:30:00 - 01/01/2017 13:45:00","BZN|DE-AT-LU","6930.28","2556.97","2385.47","6853.80"
"01/01/2017 13:45:00 - 01/01/2017 14:00:00","BZN|DE-AT-LU","6428.78","2390.42","2143.28","6357.05"
"01/01/2017 14:00:00 - 01/01/2017 14:15:00","BZN|DE-AT-LU","5850.16","2189.16","2025.64","5723.96"
"01/01/2017 14:15:00 - 01/01/2017 14:30:00","BZN|DE-AT-LU","5204.86","1963.52","1780.31","5002.28"
"01/01/2017 14:30:00 - 01/01/2017 14:45:00","BZN|DE-AT-LU","4513.57","1714.00","1561.48","4211.45"
"01/01/2017 14:45:00 - 01/01/2017 15:00:00","BZN|DE-AT-LU","3778.13","1444.25","1244.83","3480.95"
"01/01/2017 15:00:00 - 01/01/2017 15:15:00","BZN|DE-AT-LU","3022.44","1171.49","1009.55","2683.88"
"01/01/2017 15:15:00 - 01/01/2017 15:30:00","BZN|DE-AT-LU","2271.61","899.98","753.44","1924.57"
"01/01/2017 15:30:00 - 01/01/2017 15:45:00","BZN|DE-AT-LU","1566.16","625.06","519.02","1251.39"
"01/01/2017 15:45:00 - 01/01/2017 16:00:00","BZN|DE-AT-LU","896.55","340.84","294.41","707.32"
"01/01/2017 16:00:00 - 01/01/2017 16:15:00","BZN|DE-AT-LU","408.12","132.29","87.87","331.12"
"01/01/2017 16:15:00 - 01/01/2017 16:30:00","BZN|DE-AT-LU","149.61","45.52","6.23","119.44"
"01/01/2017 16:30:00 - 01/01/2017 16:45:00","BZN|DE-AT-LU","66.49","21.20","0.00","46.80"
"01/01/2017 16:45:00 - 01/01/2017 17:00:00","BZN|DE-AT-LU","16.01","6.69","0.00","15.39"
"01/01/2017 17:00:00 - 01/01/2017 17:15:00","BZN|DE-AT-LU","8.00","0.00","0.00","8.20"
"01/01/2017 17:15:00 - 01/01/2017 17:30:00","BZN|DE-AT-LU","12.92","0.00","0.00","8.07"
"01/01/2017 17:30:00 - 01/01/2017 17:45:00","BZN|DE-AT-LU","9.88","0.00","0.00","8.00"
"01/01/2017 17:45:00 - 01/01/2017 18:00:00","BZN|DE-AT-LU","7.83","0.00","0.00","8.94"
"01/01/2017 18:00:00 - 01/01/2017 18:15:00","BZN|DE-AT-LU","7.83","0.00","0.00","7.94"
"01/01/2017 18:15:00 - 01/01/2017 18:30:00","BZN|DE-AT-LU","7.83","0.00","0.00","7.95"
"01/01/2017 18:30:00 - 01/01/2017 18:45:00","BZN|DE-AT-LU","7.83","0.00","0.00","7.95"
"01/01/2017 18:45:00 - 01/01/2017 19:00:00","BZN|DE-AT-LU","7.83","0.00","0.00","7.94"
"01/01/2017 19:00:00 - 01/01/2017 19:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.16"
"01/01/2017 19:15:00 - 01/01/2017 19:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 19:30:00 - 01/01/2017 19:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.11"
"01/01/2017 19:45:00 - 01/01/2017 20:00:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 20:00:00 - 01/01/2017 20:15:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
"01/01/2017 20:15:00 - 01/01/2017 20:30:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.14"
"01/01/2017 20:30:00 - 01/01/2017 20:45:00","BZN|DE-AT-LU","0.00","0.00","0.00","0.12"
