"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2018 11:15:00 - 01/01/2018 11:30:00","BZN|DE-AT-LU","5619.73","5530.15","2958.45","6017.87"
"01/01/2018 11:30:00 - 01/01/2018 11:45:00","BZN|DE-AT-LU","5893.63","5811.39","3169.14","6290.99"
"01/01/2018 11:45:00 - 01/01/2018 12:00:00","BZN|DE-AT-LU","6102.71","5982.47","3266.31","6392.54"
"01/01/2018 12:00:00 - 01/01/2018 12:15:00","BZN|DE-AT-LU","6244.46","6058.52","3301.03","6650.33"
"01/01/2018 12:15:00 - 01/01/2018 12:30:00","BZN|DE-AT-LU","6284.19","6113.20","3271.53","6525.46"
"01/01/2018 12:30:00 - 01/01/2018 12:45:00","BZN|DE-AT-LU","6227.78","6004.09","3233.58","6384.44"
"01/01/2018 12:45:00 - 01/01/2018 13:00:00","BZN|DE-AT-LU","6138.85","6008.57","3141.39","6340.85"
"01/01/2018 13:00:00 - 01/01/2018 13:15:00","BZN|DE-AT-LU","5979.93","5892.32","3134.92","6145.05"
"01/01/2018 13:15:00 - 01/01/2018 13:30:00","BZN|DE-AT-LU","5744.35","5697.84","3155.16","5984.49"
"01/01/2018 13:30:00 - 01/01/2018 13:45:00","BZN|DE-AT-LU","5444.13","5402.44","3060.86","5621.72"
"01/01/2018 13:45:00 - 01/01/2018 14:00:00","BZN|DE-AT-LU","5091.53","5079.57","2862.86","5327.56"
"01/01/2018 14:00:00 - 01/01/2018 14:15:00","BZN|DE-AT-LU","4683.25","4731.53","2628.55","4888.84"
"01/01/2018 14:15:00 - 01/01/2018 14:30:00","BZN|DE-AT-LU","4190.17","4321.01","2396.14","4386.19"
"01/01/2018 14:30:00 - 01/01/2018 14:45:00","BZN|DE-AT-LU","3600.62","3753.38","2073.45","3843.38"
"01/01/2018 14:45:00 - 01/01/2018 15:00:00","BZN|DE-AT-LU","2997.42","3091.06","1720.59","3250.99"
"01/01/2018 15:00:00 - 01/01/2018 15:15:00","BZN|DE-AT-LU","2363.65","2445.14","1346.34","2582.70"
"01/01/2018 15:15:00 - 01/01/2018 15:30:00","BZN|DE-AT-LU","1756.57","1803.67","1019.64","1913.37"
"01/01/2018 15:30:00 - 01/01/2018 15:45:00","BZN|DE-AT-LU","1187.85","1190.89","696.62","1239.83"
"01/01/2018 15:45:00 - 01/01/2018 16:00:00","BZN|DE-AT-LU","641.06","622.82","419.49","607.12"
"01/01/2018 16:00:00 - 01/01/2018 16:15:00","BZN|DE-AT-LU","262.11","241.79","144.33","168.57"
"01/01/2018 16:15:00 - 01/01/2018 16:30:00","BZN|DE-AT-LU","90.85","79.13","22.11","34.27"
"01/01/2018 16:30:00 - 01/01/2018 16:45:00","BZN|DE-AT-LU","35.58","18.88","2.26","15.53"
"01/01/2018 16:45:00 - 01/01/2018 17:00:00","BZN|DE-AT-LU","13.52","4.80","0.00","12.83"
"01/01/2018 17:00:00 - 01/01/2018 17:15:00","BZN|DE-AT-LU","8.32","0.00","0.00","8.76"
"01/01/2018 17:15:00 - 01/01/2018 17:30:00","BZN|DE-AT-LU","8.32","0.00","0.00","8.71"
