"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","0.00","0.00","0.00","9.97"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","0.00","0.00","0.00","9.32"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","0.00","0.00","0.00","9.37"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","0.00","0.00","0.00","9.56"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DE-LU","0.00","0.00","0.00","9.93"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|DE-LU","0.00","0.00","0.00","9.91"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|DE-LU","0.00","0.00","0.00","9.07"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|DE-LU","0.00","0.00","0.00","9.27"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|DE-LU","0.00","0.00","0.00","9.34"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|DE-LU","0.00","0.00","0.00","9.25"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|DE-LU","0.00","0.00","0.00","9.28"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|DE-LU","0.00","0.00","0.00","9.30"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|DE-LU","0.00","0.00","0.00","9.98"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|DE-LU","0.00","0.00","0.00","9.22"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|DE-LU","0.00","0.00","0.00","9.18"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|DE-LU","0.00","0.00","0.00","9.27"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|DE-LU","0.00","0.00","0.00","9.38"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|DE-LU","0.00","0.00","0.00","9.20"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|DE-LU","0.00","0.00","0.00","9.18"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|DE-LU","0.00","0.00","0.00","9.11"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|DE-LU","0.00","0.00","0.00","9.71"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|DE-LU","0.00","0.00","0.00","8.88"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|DE-LU","0.00","0.00","0.00","8.91"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|DE-LU","0.00","0.00","0.00","8.88"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|DE-LU","0.00","0.00","0.00","10.40"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|DE-LU","0.00","0.00","0.00","10.51"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|DE-LU","0.00","0.00","0.00","10.63"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|DE-LU","0.00","0.00","0.00","10.76"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|DE-LU","0.00","0.00","0.00","10.82"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|DE-LU","0.00","0.00","0.00","11.03"
