"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2018 00:00 - 01/01/2018 00:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 00:15 - 01/01/2018 00:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 00:30 - 01/01/2018 00:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 00:45 - 01/01/2018 01:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 01:00 - 01/01/2018 01:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 01:15 - 01/01/2018 01:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 01:30 - 01/01/2018 01:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 01:45 - 01/01/2018 02:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 02:00 - 01/01/2018 02:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 02:15 - 01/01/2018 02:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 02:30 - 01/01/2018 02:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 02:45 - 01/01/2018 03:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 03:00 - 01/01/2018 03:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 03:15 - 01/01/2018 03:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 03:30 - 01/01/2018 03:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 03:45 - 01/01/2018 04:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 04:00 - 01/01/2018 04:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 04:15 - 01/01/2018 04:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 04:30 - 01/01/2018 04:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 04:45 - 01/01/2018 05:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 05:00 - 01/01/2018 05:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 05:15 - 01/01/2018 05:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 05:30 - 01/01/2018 05:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 05:45 - 01/01/2018 06:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 06:00 - 01/01/2018 06:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 06:15 - 01/01/2018 06:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 06:30 - 01/01/2018 06:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 06:45 - 01/01/2018 07:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 07:00 - 01/01/2018 07:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 07:15 - 01/01/2018 07:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 07:30 - 01/01/2018 07:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 07:45 - 01/01/2018 08:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 08:00 - 01/01/2018 08:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 08:15 - 01/01/2018 08:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 08:30 - 01/01/2018 08:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 08:45 - 01/01/2018 09:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 09:00 - 01/01/2018 09:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 09:15 - 01/01/2018 09:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 09:30 - 01/01/2018 09:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 09:45 - 01/01/2018 10:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 10:00 - 01/01/2018 10:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 10:15 - 01/01/2018 10:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 10:30 - 01/01/2018 10:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 10:45 - 01/01/2018 11:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 11:00 - 01/01/2018 11:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 11:15 - 01/01/2018 11:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 11:30 - 01/01/2018 11:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 11:45 - 01/01/2018 12:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 12:00 - 01/01/2018 12:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 12:15 - 01/01/2018 12:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 12:30 - 01/01/2018 12:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 12:45 - 01/01/2018 13:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 13:00 - 01/01/2018 13:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 13:15 - 01/01/2018 13:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 13:30 - 01/01/2018 13:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 13:45 - 01/01/2018 14:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 14:00 - 01/01/2018 14:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 14:15 - 01/01/2018 14:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 14:30 - 01/01/2018 14:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 14:45 - 01/01/2018 15:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 15:00 - 01/01/2018 15:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 15:15 - 01/01/2018 15:30","BZN|DE-LU","n/e","n/e"
"01/01/2018 15:30 - 01/01/2018 15:45","BZN|DE-LU","n/e","n/e"
"01/01/2018 15:45 - 01/01/2018 16:00","BZN|DE-LU","n/e","n/e"
"01/01/2018 16:00 - 01/01/2018 16:15","BZN|DE-LU","n/e","n/e"
"01/01/2018 16:15 - 01/01/2018 16:30","BZN|DE-LU","n/e","n/e"
