"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 00:15","BZN|DE-LU","39096.12","43045.51"
"01/01/2023 00:15 - 01/01/2023 00:30","BZN|DE-LU","38770.89","42577.13"
"01/01/2023 00:30 - 01/01/2023 00:45","BZN|DE-LU","38640.13","41937.08"
"01/01/2023 00:45 - 01/01/2023 01:00","BZN|DE-LU","38457.21","41302.17"
"01/01/2023 01:00 - 01/01/2023 01:15","BZN|DE-LU","38119.14","40841.27"
"01/01/2023 01:15 - 01/01/2023 01:30","BZN|DE-LU","38014.13","40271.14"
"01/01/2023 01:30 - 01/01/2023 01:45","BZN|DE-LU","38419.37","39746.06"
"01/01/2023 01:45 - 01/01/2023 02:00","BZN|DE-LU","38072.24","39249.27"
"01/01/2023 02:00 - 01/01/2023 02:15","BZN|DE-LU","37648.93","39059.02"
"01/01/2023 02:15 - 01/01/2023 02:30","BZN|DE-LU","37435.28","38942.85"
"01/01/2023 02:30 - 01/01/2023 02:45","BZN|DE-LU","37212.29","38450.68"
"01/01/2023 02:45 - 01/01/2023 03:00","BZN|DE-LU","36931.50","38071.57"
"01/01/2023 03:00 - 01/01/2023 03:15","BZN|DE-LU","36732.31","37631.41"
"01/01/2023 03:15 - 01/01/2023 03:30","BZN|DE-LU","36218.56","37650.61"
"01/01/2023 03:30 - 01/01/2023 03:45","BZN|DE-LU","36092.14","37558.38"
"01/01/2023 03:45 - 01/01/2023 04:00","BZN|DE-LU","36120.29","37514.25"
"01/01/2023 04:00 - 01/01/2023 04:15","BZN|DE-LU","35978.62","37770.84"
"01/01/2023 04:15 - 01/01/2023 04:30","BZN|DE-LU","35774.08","37834.80"
"01/01/2023 04:30 - 01/01/2023 04:45","BZN|DE-LU","35752.61","37722.87"
"01/01/2023 04:45 - 01/01/2023 05:00","BZN|DE-LU","35853.78","37494.43"
"01/01/2023 05:00 - 01/01/2023 05:15","BZN|DE-LU","36009.61","37342.54"
"01/01/2023 05:15 - 01/01/2023 05:30","BZN|DE-LU","36007.45","36846.41"
"01/01/2023 05:30 - 01/01/2023 05:45","BZN|DE-LU","36079.17","36401.20"
"01/01/2023 05:45 - 01/01/2023 06:00","BZN|DE-LU","35911.29","35927.77"
"01/01/2023 06:00 - 01/01/2023 06:15","BZN|DE-LU","35548.78","35192.27"
"01/01/2023 06:15 - 01/01/2023 06:30","BZN|DE-LU","35744.94","35256.98"
"01/01/2023 06:30 - 01/01/2023 06:45","BZN|DE-LU","35505.31","34718.32"
"01/01/2023 06:45 - 01/01/2023 07:00","BZN|DE-LU","35542.21","34737.66"
