"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2017 00:00:00 - 01/01/2017 00:15:00","BZN|DE-AT-LU","3201.00","3009.00","2966.00","3296.43"
"01/01/2017 00:15:00 - 01/01/2017 00:30:00","BZN|DE-AT-LU","3200.00","3007.00","2965.00","3301.08"
"01/01/2017 00:30:00 - 01/01/2017 00:45:00","BZN|DE-AT-LU","3202.00","3008.00","2963.00","3299.76"
"01/01/2017 00:45:00 - 01/01/2017 01:00:00","BZN|DE-AT-LU","3202.00","3008.00","2963.00","3302.21"
"01/01/2017 01:00:00 - 01/01/2017 01:15:00","BZN|DE-AT-LU","3189.00","3039.00","2997.00","3304.12"
"01/01/2017 01:15:00 - 01/01/2017 01:30:00","BZN|DE-AT-LU","3186.00","3039.00","2989.00","3300.15"
"01/01/2017 01:30:00 - 01/01/2017 01:45:00","BZN|DE-AT-LU","3184.00","3036.00","2989.00","3299.60"
"01/01/2017 01:45:00 - 01/01/2017 02:00:00","BZN|DE-AT-LU","3181.00","3035.00","2982.00","3296.38"
"01/01/2017 02:00:00 - 01/01/2017 02:15:00","BZN|DE-AT-LU","3176.00","3033.00","2977.00","3297.04"
"01/01/2017 02:15:00 - 01/01/2017 02:30:00","BZN|DE-AT-LU","3179.00","3033.00","2971.00","3295.54"
"01/01/2017 02:30:00 - 01/01/2017 02:45:00","BZN|DE-AT-LU","3178.00","3033.00","2968.00","3295.86"
"01/01/2017 02:45:00 - 01/01/2017 03:00:00","BZN|DE-AT-LU","3176.00","3033.00","2964.00","3293.80"
"01/01/2017 03:00:00 - 01/01/2017 03:15:00","BZN|DE-AT-LU","3179.00","3032.00","2962.00","3294.60"
"01/01/2017 03:15:00 - 01/01/2017 03:30:00","BZN|DE-AT-LU","3175.00","3028.00","2958.00","3295.40"
"01/01/2017 03:30:00 - 01/01/2017 03:45:00","BZN|DE-AT-LU","3171.00","3024.00","2958.00","3297.21"
"01/01/2017 03:45:00 - 01/01/2017 04:00:00","BZN|DE-AT-LU","3166.00","3021.00","2958.00","3298.16"
"01/01/2017 04:00:00 - 01/01/2017 04:15:00","BZN|DE-AT-LU","3162.00","2973.00","2956.00","3298.55"
"01/01/2017 04:15:00 - 01/01/2017 04:30:00","BZN|DE-AT-LU","3161.00","2973.00","2952.00","3297.16"
"01/01/2017 04:30:00 - 01/01/2017 04:45:00","BZN|DE-AT-LU","3162.00","2975.00","2948.00","3293.22"
"01/01/2017 04:45:00 - 01/01/2017 05:00:00","BZN|DE-AT-LU","3160.00","2974.00","2946.00","3291.25"
"01/01/2017 05:00:00 - 01/01/2017 05:15:00","BZN|DE-AT-LU","3163.00","2975.00","2943.00","3293.58"
"01/01/2017 05:15:00 - 01/01/2017 05:30:00","BZN|DE-AT-LU","3161.00","2971.00","2934.00","3295.32"
"01/01/2017 05:30:00 - 01/01/2017 05:45:00","BZN|DE-AT-LU","3162.00","2969.00","2930.00","3281.02"
"01/01/2017 05:45:00 - 01/01/2017 06:00:00","BZN|DE-AT-LU","3163.00","2968.00","2934.00","3274.14"
"01/01/2017 06:00:00 - 01/01/2017 06:15:00","BZN|DE-AT-LU","3166.00","2961.00","2925.00","3264.55"
"01/01/2017 06:15:00 - 01/01/2017 06:30:00","BZN|DE-AT-LU","3168.00","2970.00","2931.00","3206.14"
"01/01/2017 06:30:00 - 01/01/2017 06:45:00","BZN|DE-AT-LU","3173.00","2973.00","2928.00","3154.20"
"01/01/2017 06:45:00 - 01/01/2017 07:00:00","BZN|DE-AT-LU","3176.00","2968.00","2912.00","3111.11"
"01/01/2017 07:00:00 - 01/01/2017 07:15:00","BZN|DE-AT-LU","3171.00","2962.00","2885.00","3014.86"
"01/01/2017 07:15:00 - 01/01/2017 07:30:00","BZN|DE-AT-LU","3141.00","2855.00","2836.00","2892.98"
"01/01/2017 07:30:00 - 01/01/2017 07:45:00","BZN|DE-AT-LU","3116.00","2729.00","2796.00","2842.73"
"01/01/2017 07:45:00 - 01/01/2017 08:00:00","BZN|DE-AT-LU","3088.00","2600.00","2766.00","2789.14"
"01/01/2017 08:00:00 - 01/01/2017 08:15:00","BZN|DE-AT-LU","3058.00","2475.00","2710.00","2779.48"
"01/01/2017 08:15:00 - 01/01/2017 08:30:00","BZN|DE-AT-LU","3022.00","2490.00","2595.00","2683.84"
