"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2020 00:00:00 - 01/01/2020 00:15:00","BZN|DE-LU","643.00","562.15","132.00","500.94"
"01/01/2020 00:15:00 - 01/01/2020 00:30:00","BZN|DE-LU","697.45","557.89","154.00","501.31"
"01/01/2020 00:30:00 - 01/01/2020 00:45:00","BZN|DE-LU","750.90","559.37","165.00","540.33"
"01/01/2020 00:45:00 - 01/01/2020 01:00:00","BZN|DE-LU","803.33","630.61","192.00","655.02"
"01/01/2020 01:00:00 - 01/01/2020 01:15:00","BZN|DE-LU","872.77","770.42","230.00","889.94"
"01/01/2020 01:15:00 - 01/01/2020 01:30:00","BZN|DE-LU","980.77","983.66","312.00","1156.53"
"01/01/2020 01:30:00 - 01/01/2020 01:45:00","BZN|DE-LU","1092.79","1053.79","384.00","1248.21"
"01/01/2020 01:45:00 - 01/01/2020 02:00:00","BZN|DE-LU","1205.49","1152.13","457.00","1381.99"
"01/01/2020 02:00:00 - 01/01/2020 02:15:00","BZN|DE-LU","1322.17","1290.63","573.00","1533.42"
"01/01/2020 02:15:00 - 01/01/2020 02:30:00","BZN|DE-LU","1432.50","1438.44","675.00","1658.66"
"01/01/2020 02:30:00 - 01/01/2020 02:45:00","BZN|DE-LU","1546.84","1587.31","853.00","1687.31"
"01/01/2020 02:45:00 - 01/01/2020 03:00:00","BZN|DE-LU","1667.24","1711.37","963.00","1783.10"
"01/01/2020 03:00:00 - 01/01/2020 03:15:00","BZN|DE-LU","1771.68","1835.69","1071.00","1901.52"
"01/01/2020 03:15:00 - 01/01/2020 03:30:00","BZN|DE-LU","1864.87","1931.01","1156.00","2075.29"
"01/01/2020 03:30:00 - 01/01/2020 03:45:00","BZN|DE-LU","1934.05","1973.52","1188.00","2116.64"
"01/01/2020 03:45:00 - 01/01/2020 04:00:00","BZN|DE-LU","2004.35","2030.14","1233.00","2155.37"
"01/01/2020 04:00:00 - 01/01/2020 04:15:00","BZN|DE-LU","2063.64","2106.92","1298.00","2251.21"
"01/01/2020 04:15:00 - 01/01/2020 04:30:00","BZN|DE-LU","2083.54","2128.61","1310.00","2330.69"
"01/01/2020 04:30:00 - 01/01/2020 04:45:00","BZN|DE-LU","2100.43","2202.43","1374.00","2313.26"
"01/01/2020 04:45:00 - 01/01/2020 05:00:00","BZN|DE-LU","2118.80","2260.16","1421.00","2273.45"
"01/01/2020 05:00:00 - 01/01/2020 05:15:00","BZN|DE-LU","2129.18","2245.00","1395.00","2253.51"
"01/01/2020 05:15:00 - 01/01/2020 05:30:00","BZN|DE-LU","2115.93","2217.59","1355.00","2202.62"
"01/01/2020 05:30:00 - 01/01/2020 05:45:00","BZN|DE-LU","2102.68","2166.28","1291.00","2131.82"
"01/01/2020 05:45:00 - 01/01/2020 06:00:00","BZN|DE-LU","2089.79","2141.94","1254.00","2048.68"
"01/01/2020 06:00:00 - 01/01/2020 06:15:00","BZN|DE-LU","2069.90","2131.69","1231.00","1932.61"
"01/01/2020 06:15:00 - 01/01/2020 06:30:00","BZN|DE-LU","2047.78","2120.56","1211.00","1884.02"
"01/01/2020 06:30:00 - 01/01/2020 06:45:00","BZN|DE-LU","2021.65","2059.51","1141.00","1948.28"
"01/01/2020 06:45:00 - 01/01/2020 07:00:00","BZN|DE-LU","1993.97","2010.05","1082.00","2006.77"
"01/01/2020 07:00:00 - 01/01/2020 07:15:00","BZN|DE-LU","1980.29","1970.65","1033.00","2088.61"
"01/01/2020 07:15:00 - 01/01/2020 07:30:00","BZN|DE-LU","1998.41","1989.98","1048.00","2130.15"
"01/01/2020 07:30:00 - 01/01/2020 07:45:00","BZN|DE-LU","2011.52","2033.35","1087.00","2166.58"
"01/01/2020 07:45:00 - 01/01/2020 08:00:00","BZN|DE-LU","2030.20","2076.97","1162.00","2231.87"
"01/01/2020 08:00:00 - 01/01/2020 08:15:00","BZN|DE-LU","2052.88","2122.34","1211.00","2243.21"
"01/01/2020 08:15:00 - 01/01/2020 08:30:00","BZN|DE-LU","2094.92","2182.00","1256.00","2265.26"
"01/01/2020 08:30:00 - 01/01/2020 08:45:00","BZN|DE-LU","2129.95","2235.75","1319.00","2308.71"
