"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","BZN|DE-LU","5331.38","5678.55","5678.55","5838.86"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","BZN|DE-LU","5284.04","5593.80","5593.80","5747.86"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","BZN|DE-LU","5240.64","5490.19","5490.19","5618.10"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","BZN|DE-LU","5194.87","5408.98","5408.98","5512.02"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","BZN|DE-LU","5131.94","5368.77","5368.77","5463.93"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","BZN|DE-LU","5084.57","5283.73","5283.73","5342.82"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","BZN|DE-LU","5048.39","5238.83","5238.83","5282.23"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","BZN|DE-LU","5007.35","5157.61","5157.61","5293.97"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","BZN|DE-LU","4959.78","5105.84","5105.84","5360.06"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","BZN|DE-LU","4941.65","5120.09","5120.09","5344.33"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","BZN|DE-LU","4921.45","5106.68","5106.68","5185.59"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","BZN|DE-LU","4906.29","5101.12","5101.12","4864.28"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","BZN|DE-LU","4815.75","4825.70","4825.70","4606.53"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","BZN|DE-LU","4782.59","4751.13","4751.13","4582.52"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","BZN|DE-LU","4743.15","4615.32","4615.32","4763.03"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","BZN|DE-LU","4706.12","4473.89","4473.89","4744.38"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","BZN|DE-LU","4653.20","4384.58","4384.58","4579.00"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","BZN|DE-LU","4600.17","4435.94","4435.94","4442.97"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","BZN|DE-LU","4545.15","4435.25","4435.25","4385.21"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","BZN|DE-LU","4486.99","4407.17","4407.17","4350.20"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","BZN|DE-LU","4426.20","4283.07","4283.07","4561.12"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","BZN|DE-LU","4383.42","4192.06","4192.06","4729.13"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","BZN|DE-LU","4333.38","4108.31","4108.31","4664.62"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","BZN|DE-LU","4288.99","4116.46","4116.46","4543.87"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","BZN|DE-LU","4252.95","4152.64","4152.64","4491.29"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","BZN|DE-LU","4215.51","4186.63","4186.63","4407.19"
"01/01/2024 06:30:00 - 01/01/2024 06:45:00","BZN|DE-LU","4179.39","4161.54","4161.54","4198.48"
"01/01/2024 06:45:00 - 01/01/2024 07:00:00","BZN|DE-LU","4144.09","4031.56","4031.56","4045.32"
"01/01/2024 07:00:00 - 01/01/2024 07:15:00","BZN|DE-LU","4151.79","4026.76","4026.76","3958.91"
"01/01/2024 07:15:00 - 01/01/2024 07:30:00","BZN|DE-LU","4147.27","3912.29","3912.29","3947.61"
"01/01/2024 07:30:00 - 01/01/2024 07:45:00","BZN|DE-LU","4140.56","3838.35","3838.35","3863.86"
"01/01/2024 07:45:00 - 01/01/2024 08:00:00","BZN|DE-LU","4136.85","3810.50","3792.50","3817.79"
"01/01/2024 08:00:00 - 01/01/2024 08:15:00","BZN|DE-LU","4125.73","3789.56","3713.56","3926.55"
"01/01/2024 08:15:00 - 01/01/2024 08:30:00","BZN|DE-LU","4159.04","3772.79","3684.79","3855.18"
"01/01/2024 08:30:00 - 01/01/2024 08:45:00","BZN|DE-LU","4166.31","3770.31","3687.31","3846.07"
"01/01/2024 08:45:00 - 01/01/2024 09:00:00","BZN|DE-LU","4216.49","3759.85","3719.85","3797.80"
"01/01/2024 09:00:00 - 01/01/2024 09:15:00","BZN|DE-LU","4224.67","3680.95","3658.95","3408.76"
"01/01/2024 09:15:00 - 01/01/2024 09:30:00","BZN|DE-LU","4231.60","3715.69","3687.69","3132.42"
"01/01/2024 09:30:00 - 01/01/2024 09:45:00","BZN|DE-LU","4234.37","3737.07","3688.07","3110.75"
